# Two-Pass Transcription: best_part.mp3
# Duration: 271.44s

Time     Chord        Bass         Chords                       Melody
17.90    A#           D3 A#2       -                            D4 F#4 A4
18.00    Asus4        A2           E3 D3 A3                     D4 F#4 A4 E4 F#4 A4
18.10    Am           A2           E3 A3 C3 C4                  E4 F#4 A4
18.20    Am           A2           E3 C3 C4 A3                  E4 F#4 A4
18.30    Am           A2           E3 E4 C4 A3 B3               -
18.40    Am           A2           E3 E4 B3 C4 A3               -
18.50    Amin7        A2           E3 E4 B3 A3 C4 G3            -
18.60    Amin7        A2           E4 B3 B4 G3 C4               -
18.70    Amin7        A2 A1        E4 B3 B4 G3 G4 C4            -
18.80    Amin7        A1 A2        E4 B3 B4 G3 G4 C4            -
18.90    Amin7        A2 A1        E3 E4 B3 G3 A3 C4            -
19.00    Amin7        A2 G3        E3 E4 B3 A3 C4               -
19.10    Amin7        A2 G3        E3 E4 A3 B3 C4               -
19.20    Amin7        A2 G3        E3 E4 B3 A3 G4 C4            -
19.30    Am           F#3 A2       E3 B3 C4 E4 A3               -
19.40    F#dim        F#3 A2       B3 C4                        D#4 F#4 B4
19.50    F#dim??      F#3          C4                           D#4 F#4 B4 D#4 F#4 G#4
19.60    F#dim??      F#3          C4                           D#4 F#4 B4 D#4 F#4 G#4
19.70    Cdim         F#3          C4 D#3                       D#4 F#4 G#4
19.80    Eaug         F#3 E2       G#4 D#3 D#4 C4               -
19.90    Emaj7        F#3 E2       G#4 D#3 D#4 B4 C4            -
20.00    Emaj7        F#3 E2       B3 D#4 G#4 B4 C4             -
20.10    G#min7       F#2 F#3      B3 D#4 B4 G#4 C4             -
20.20    Esus2        F#3 E2       B3 D#4 B4 C4                 -
20.30    Esus2        F#3 E2       B3 D#4 B4 E3 C4              -
20.40    Esus2        F#3 E2       B3 D#4 E3 B4 C4              -
20.50    Esus2        F#2 F#3 E2   D#3 D#4 B3 C4 B4             -
20.60    Emaj7        E2 F#2 F#3   D#4 G#4 C4 D#3 B3            -
20.70    E            E2           G#4 C4 B3                    D#4 B4 D5
20.80    -            -            C4                           D#4 B4 D5 D#4 G#4 D5
20.90    Amadd9       A1           C4 B3                        D#4 B4 D5 D#4 G#4 D5
21.00    Amadd9       A1           B3 C4 B4                     D#4 G#4 D5
21.10    Emaj7        E2           D#4 B3 G#4 B4 C4             -
21.20    G#           -            D#4 B3 B4 G#4 C4             -
21.30    Adim         D#2 A1       D#4 B3 B4 G#4 C4             -
21.40    Adim         D#2 A1       D#4 B3 B4 C4                 -
21.50    Esus4        -            E3 A3 A4 B3                  D#4 E4 D5
21.60    A5           -            E3 A3 A4                     D#4 E4 D5
21.70    A5           A1           E3 A3                        D#4 E4 D5
21.80    A5           A1           E3 E4 A3                     -
21.90    Asus2        E2 A1        E3 E4 A3 B3                  -
22.00    Asus2        E2 A1        E3 E4 A3 B3                  -
22.10    A5           E2           E3 E4 A3 A4                  -
22.20    Dsus2        D3           E3 E4 A3 A4                  -
22.30    Dsus2        D3 E2        E3 E4 A3                     -
22.40    Esus4        D3 E2        E3 E4 A3 B3                  -
22.50    Esus4        D3 E2        A3 E3 E4 B3                  -
22.60    Dsus2        D3 E2        A3                           E4 A4 D5
22.70    D5           D3           A3                           E4 A4 D5
22.80    D5           D3           A3                           E4 A4 D5
22.90    D            D3           A3 E3 F#4                    E4 A4 D5
23.00    D            E2 D3        A3 E3 F#4                    E4 A4 D5
23.10    Asus4        A1 E2        D3 A3 E3 F#4                 E4 A4 D5
23.20    Asus4        A1 E2        D3 A3 A4 E3 E4 F#4           -
23.30    D            D3 E2        A3 A4 E3 E4 F#4              -
23.40    Dsus2        D3 E2        A3 A4 E3 E4                  -
23.50    Dsus2        D3 E2        A3 A4 E3 E4                  -
23.60    Dsus2        D3 E2        A3 A4 E3 E4                  -
23.70    Dsus2        D3 E2        A3 A4 E3 E4                  -
23.80    Dsus2        D3 E2        A3 A4 E3 E4                  -
23.90    Dsus2        D3 E2        A3 A4 E4                     -
24.00    Dsus2        D3 E2        A3 A4                        -
24.10    D5           D3           A3                           -
24.20    D5           D3           A3                           -
24.30    Dsus2        D2 D3        A3 E4                        -
24.40    Dsus2        D3           A3 E4                        -
24.50    D5           D3           A3                           E4 A4 D5
24.60    D5           D3           A3                           E4 A4 D5
24.70    D5           D3           D#3 A3                       E4 A4 D5
24.80    D5           D3           A3                           -
24.90    Dmin7        D3           F4 A3 C4                     -
25.00    D5           D3           A3 A#3 C4                    F4 A4 D5
25.10    D#5          D3 D#2       A3 A#3 C4                    F4 A4 D5
25.20    D#5          D3 D#2       A3 A#3 C4                    F4 A4 D5
25.30    Fmaj7        D3 E2        A#3 F4 A3 C4 A4              -
25.40    Fmaj7        D3 E2        F4 A#3 A3 C4 A4              -
25.50    A#           E2           A#3 D3 F4 C4                 -
25.60    Csus2?       C3           A#3 D3 C4                    F4 A4 A#4
25.70    Csus2        C3           D3 C4 A3 G4                  F4 A4 A#4
25.80    Csus2        C3           D3 A3 C4 G4                  F4 A4 A#4
25.90    Emin7        B2 E2        D3 F4 A#4 A3 A4 G4 C4        -
26.00    Dmin7        C3 E2        D3 F4 C4 A3 A4               -
26.10    Dmin7        C3           D3 F4 C4 A3 A4               -
26.20    F            C3 F2        D3 A#3 A3 C4                 F4 G4 A4
26.30    F            F2 C3        D3 D4 A#3 A3                 F4 G4 A4
26.40    D5           C3           D3 D4 A#3 A3                 F4 G4 A4
26.50    Gm           C3 A1        D3 D4 A#3 A3 G4              -
26.60    Gm           C3 A1        D3 D4 A#3 A3 G4              -
26.70    Gm           A1           D3 D4 A#3 G4 A3              -
26.80    Dsus4        -            D3 D4 A#3 G4 A3              -
26.90    Emin7b5      E2           D3 D4 A#3 G4                 -
27.00    Emin7b5      E2           D3 D4 A#3 G4                 -
27.10    C11          C2 E2        D3 D4 A#3 G4 F4              -
27.20    Dm           -            D3 A3 D4 A#3 F4              -
27.30    A#maj7       C2 C3        D3 A3 D4 F4 A#3              -
27.40    Dm           -            A#3 D3 A3 D#3 F4             -
27.50    D5           C2           A#3 D3 A3                    F4 A4 A#4
27.60    -            -            A#3                          F4 A4 A#4
27.70    Edim??       E2           A#3                          F4 A4 A#4
27.80    C7?          E2 C3        A#3                          -
27.90    Csus2?       C3           D3 A#3                       -
28.00    Fsus4        C3 F2        D3 D4 A#3                    F4 A4 A#4
28.10    Csus2?       C3           D3 D4 A#3                    F4 A4 A#4
28.20    D5           A2           D3 D4 A3 A#3                 F4 A4 A#4 E4 A4 A#4
28.30    D5           A2           D3 D4 A3 A#3                 E4 A4 A#4
28.40    D            A2           D3 D4 F#3 A3 A#3             E4 A4 A#4 E4 A4 B4
28.50    D            D2           D3 F#3 A3                    E4 A4 B4
28.60    Dmaj7        D2 F#3       D3 C#4 A3                    E4 A4 B4 F#4 A4 B4
28.70    F#5          D2 F#3       D3 C#4                       F#4 A4 B4
28.80    F#5          D2 F#3       C#4 D3                       F#4 A4 B4
28.90    Dmaj7        D2 F#3       C#4 D3 A3                    -
29.00    Dmaj7        D2 F#3       D3 C#4 D4 A3                 -
29.10    Dmaj7        D2 F#3       D3 C#4 D4 A3                 -
29.20    Dmaj7        D2 F#3       D3 D4 C#4 A3                 -
29.30    Dmaj7        D2 F#3       D3 D4 C#4 A3                 -
29.40    Dmaj7        D2 F#3       D3 D4 C#4 A3                 -
29.50    Dmaj7        D2 F#3       D3 C#4 A3                    -
29.60    Dmaj7        D2 F#3       D3 C#4 A3                    -
29.70    D            D2 F#3       D3 D4                        G#4 A4 D5
29.80    Dm           D2 F2        D3 D4                        G#4 A4 D5
29.90    Dmadd9       D2 F2        E4 D3 D4                     G#4 A4 D5
30.00    -            D2           D3 D4                        E4 D5 E4
30.10    Dsus2?       E2 D2        D3 D4                        E4 D5 E4
30.20    Dadd9        F#3          E3 D3 D4                     E4 D5 E4 E4 E4
30.30    F#5          E2 E3 F#3    D3 C#4                       E4 E4
30.40    F#5          E2 E3        F#3 F#4 D3 C#3 C#4           E4 E4
30.50    F#5          E2 E3        F#3 F#4 D3 C#3 C#4           -
30.60    F#5          E3           D3 D4 F#3 C#3 C#4            E4 G#4 A5
30.70    Dadd9        E3 F#3       D3 D4                        E4 G#4 A5
30.80    Dadd9        E3 F#3       D3 D4                        E4 G#4 A5
30.90    Dsus2?       E3 E2        D3 D4                        -
31.00    Dsus2?       E2 E3        D3 D4                        -
31.10    Dsus2?       E3           C#4 D3 D4                    E4 C#5 D5
31.20    Dmaj9        E3 F#3       C#4 D3 D4                    E4 C#5 D5
31.30    F#5          E2 F#3       C#4 D3 D4 E3                 E4 C#5 D5
31.40    F#5          E2 F#3       C#4 D3 D4 E3                 -
31.50    Dmaj7        F#3          C#4 D3 E3 D4 A3              -
31.60    Dmaj7        F#3 E3       D3 C#3 C#4 A3 D4             -
31.70    A            F#3 E3       A3 C#4 D4                    -
31.80    A            E2 F#3       C#4 A3 E3 D4                 -
31.90    A            E2 F#3       E3 C#4 A3 D4                 -
32.00    Amin7        A2           E3 C4 G3 A3                  E4 G4 C#5
32.10    Amin7        A2           E3 C4 G3 A3                  E4 G4 C#5
32.20    Amin7        A1 A2        C3 E3 C4 G3 A3               E4 G4 C#5
32.30    Amin7        A2 A1        C3 E3 C4 E4 A3 G3            -
32.40    Amin7        A1 A2        C3 E3 E4 C4 A3 G3            -
32.50    Amin7        A2 G3        E3 E4 A3 D3 C4 D4            -
32.60    Amin7        A2 G3        E3 D3 E4 A3 C4 D4            -
32.70    Amin7        A2 G3        D3 E4 E3 D4 C4               -
32.80    Amin7        A2 G3        D3 E3 E4 D4 C4               -
32.90    Amin7        A2 G3        C3 D3 D4 E4                  -
33.00    Amin7        A2 G3        C3 D3 A3 D4 E4               -
33.10    Amin7        A2 G3        A3 D4 E3 E4 C4               -
33.20    Amin7        A2           D4 G3 A3 E4 E3 C4            -
33.30    Dsus4        A2           D3 D4 G3 A3                  E4 G4 D5
33.40    D5           A2           D3 D4                        E4 G4 D5
33.50    -            -            D3 D4                        E4 G4 D5 E4 D5
33.60    -            -            D3 D4                        E4 D5 E4
33.70    Dm?          F2           D3 D4                        E4 D5 E4 E4
33.80    G5           F2 D3        G4                           E4 E4 E4
33.90    Fsus2        F2 D3        G3 C4                        E4 E4 E4 F#4 G4
34.00    Gsus2        A1 D3        C4 G3                        E4 E4 F#4 G4
34.10    Gsus2        A1           D3 C4 G3                     E4 F#4 G4
34.20    D7           F#3          D3 C4                        E4 F#4
34.30    Csus2        F#3          C3 G4 D3                     E4 F#4
34.40    Csus2        F#3          C3 G4 D3                     E4 F#4
34.50    Emadd9?      F#3          E4 G4                        -
34.60    Esus2?       F#3          E4                           -
34.70    Esus2?       F#3          E4                           -
34.80    Esus2?       F#3          E4                           -
34.90    Dadd9        F#3          E4 D3                        -
35.00    Dadd9        F#3          E4 D3                        -
35.10    Dadd9?       F#3 F#2      E4 D3                        -
35.20    D9?          F#2 F#3      E4 D3 C4                     -
35.30    Cadd9?       F#3 D3       E4 C3 C4                     -
35.40    Cadd9?       F#3 D3       E4 C3 C4                     -
35.50    Gsus2        G2 F#3       G3 D3 A3                     -
35.60    Gmaj7        G2 F#3       G3 D3 D4 B3 A3               A4 B4 D5
35.70    Gmaj7        G2 F#3       G3 D3 D4 B3                  A4 B4 D5
35.80    Gmaj7        G2 F#3       G3 D3 B3 D4                  A4 B4 D5
35.90    Gmaj7        G2 F#3       D3 B3 B4 D4 A3               -
36.00    Gmaj7        G2 F#3       D3 B3 D4 B4 A3 G4            -
36.10    Gmaj7        G2 F#3       B3 B4 D4 A3 G4               -
36.20    Gmaj7        G2 F#3       B3 D4 A3 G4                  -
36.30    Gmaj7        G2 F#3       B3 D3 D4 B4 A3               -
36.40    Gmaj7        G2           D3 D4 B3 F#3 E3 B4 A3        -
36.50    Gmaj7        G2           D3 D4 F#3 B3 B4 A3           -
36.60    Gmaj7        G2           D3 D4 B3 F#3 B4 A3           -
36.70    Gmaj7        G2           D3 D4 F#3 B3 A3              -
36.80    Gmaj7        G2           D3 D4 F#3 B3 A3              -
36.90    G5           G2           D3 D4                        A4 B4 D5
37.00    G5           G2           D3 D4                        A4 B4 D5
37.10    G5           G2           D4                           A4 B4 D5 E4
37.20    G5           G2           E3 D4                        E4 E4 E4
37.30    Dadd9        -            E3 F#3 D3                    E4 E4 E4 E4
37.40    Dadd9?       F2 F#3       E3 D3                        E4 E4 E4 E4 E4
37.50    Bm           F2 F#3       E3 D3 B3                     E4 E4 E4 E4 F#4
37.60    Bm           F#3          D3 B3                        E4 E4 E4 F#4
37.70    Bm           F#3          D3 B3                        E4 F#4
37.80    D?           F#2 F#3      D3 D4                        F#4 A4 D5
37.90    D?           F#2 F#3      D3 D4                        F#4 A4 D5
38.00    D?           F#2 F#3      D3 D4                        F#4 A4 D5
38.10    D?           F#2 F#3      D3 D4                        -
38.20    D?           F#2 F#3      D3 D4                        -
38.30    D?           F#2 F#3      D3 D4                        -
38.40    D            F#3          D3 D4                        -
38.50    D            F#3 D3       D4                           -
38.60    Bm           F#3 D3       D4 B3                        -
38.70    Bm           F#3          D3 D4 B3                     -
38.80    D            F#3          D3 D4                        F#4 D5 A5
38.90    D            F#3          D3 D4                        F#4 D5 A5
39.00    D            F#3          D3 D4                        F#4 D5 A5
39.10    -            F2           F3                           D4 F4 F4 F4
39.20    A#5          F2 F3        A#3                          D4 F4 F4 F4
39.30    A#5          F2 F3        A#3                          D4 F4 F4 F4 E4 F4
39.40    A#5          F2 F3        A#3                          E4 F4
39.50    A#5          F2 F3        A#3 G4                       E4 F4
39.60    Edim         F2 F3        E3 E4 G4 A#3                 -
39.70    D#           F#2          F3 D#3 G4 A#3                E4 F4 G#4
39.80    D#add9       -            F3 D#3 G4                    E4 F4 G#4
39.90    Fadd9        -            A3 F3 G4                     E4 F4 G#4
40.00    Dm           F3           A3 F4 E4 D3 G4               -
40.10    Gsus2        G2           A3 F3 E4 D3 F4 G4            -
40.20    Fmaj9        -            G3 G4 A3 E4 F3 F4            -
40.30    Csus4        G3           C3 A3 F3                     E4 G4 A4
40.40    Csus4        G3           C3 A3 F3                     E4 G4 A4
40.50    Gsus2?       G2           G3 A3 F3                     E4 G4 A4
40.60    A5           G2 E2        G3 E4 A3 F3                  -
40.70    Fsus2?       -            G3 E4 F3                     -
40.80    Emin7b5      E2           D3 D4 A#3 F3 G3              E4 G4 D5
40.90    Dm           F3           D3 D4 A#3 A3 G3              E4 G4 D5
41.00    Dm           F3           D3 D4 A#3 A3                 E4 G4 D5
41.10    Dsus2        E3           D3 D4 A#3 A3                 A4 D5 E5
41.20    Dsus2?       E3           D3 D4 A#3                    A4 D5 E5
41.30    A#?          E2 E3        D3 D4 A#3                    A4 D5 E5
41.40    Dmadd9?      E3 E2        D3 D4 F4                     -
41.50    Dmadd9?      E2 E3        D4 F4                        -
41.60    Dmadd9?      E3           D4 F4                        -
41.70    Dsus2        D3           E3 A3                        -
41.80    Dm           D3 F3        A3                           -
41.90    Dm           D3 F3        A3                           -
42.00    Csus2        C3 D3        A3 C4 F3 G4                  F4 A4 D5
42.10    Csus2        C3 D3        A3 C4 F3 G4                  F4 A4 D5
42.20    Dmin7        C3 D3        E4 A3 C4 F3                  F4 A4 D5
42.30    D5           A2           A3 D3                        E4
42.40    D5           A2           A3 D3                        E4
42.50    D5           A2           D3 A3                        E4
42.60    D            A2           D3 F#3 A3                    E4
42.70    D            D2 F#3       D3 A3                        E4
42.80    D            D2 F#3       D3 A3                        E4
42.90    D            D2 F#3       D3 A3                        -
43.00    D            D2 F#3       D3 A3                        -
43.10    D            D2 F#3       D3 A3                        -
43.20    D            D2 F#3       D3 A3                        -
43.30    D            D2 F#3       D3 A3                        -
43.40    D            D2 F#3       A3 D3                        -
43.50    D            A2 D2        A3 D3 F#3                    E4 A4 C#5
43.60    D            A2 D2        A3 D3 F#3                    E4 A4 C#5
43.70    D            A2 D2        A3 D3 F#3                    E4 A4 C#5
43.80    D            A2 D2        D3 E4 A3 F#3                 -
43.90    D5           A2 D2        D3 D4                        E4 A4 D5
44.00    D5           A2           D3 D4                        E4 A4 D5
44.10    D5           A1 A2        D3 D4                        E4 A4 D5 E4 A4 D5
44.20    D5           A2           D3 D4                        E4 A4 D5
44.30    D5           A1 A2        D3 D4                        E4 A4 D5
44.40    Dmaj9        F#3          E3 D3 D4 C#4                 E4 E4 F#4
44.50    F#min7       F#3 E3       C#4 A3                       E4 E4 F#4
44.60    F#min7       E3 F#3       C#4 A3                       E4 E4 F#4
44.70    F#min7       E3 F#3       C#4 A3                       -
44.80    Dmaj9        E3 F#3       D3 D4 C#4                    E4 F#4 A5
44.90    Dmaj9        E3 F#3       D3 D4 C#4                    E4 F#4 A5
45.00    Dmaj9        E3 F#3       D3 D4 C#4                    E4 F#4 A5
45.10    Dadd9        E3 F#3       D3 D4                        -
45.20    Dadd9        E3 F#3       D3 D4                        -
45.30    Dadd9?       F2 F#3       D3 D4 E3                     -
45.40    D?           F2 F#3       D3 D4                        -
