# Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 76
# First Downbeat: 0.000s
# BPM Confidence: 1.00

Bar.Beat   Time     Chord      Bass         Chords                   Melody
1.4.68     3.30     D          -            C#4 F#4 A3 D3            -
1.4.79     3.40     Faug       F2           C#3 C#4 F#4 A3 D3        -
1.4.90     3.50     Faug       F2           C#4                      -
2.1.01     3.60     Faug       F2           C#3 C#4                  -
2.1.13     3.70     Dmaj7      D3           C#4                      F#4
2.1.24     3.80     Dmaj7      D3           C#4                      F#4
2.1.35     3.90     -          A2           -                        F#4
2.1.46     4.00     D5         A2           D3 D4 C4                 A4
2.1.57     4.10     D5         A2           D3 D4 C3 C4              D5 A4
2.1.69     4.20     D5         A2 A1        D3 D4 C3 C4 B4           D5 A4
2.1.80     4.30     D5         A1 A2        D3 D4 C4 B3 B4           D5 A4
2.1.91     4.40     Am         A2           D3 D4 C4 E4 B3 B4        -
2.2.02     4.50     Am         A2           D3 D4 C4 E4 G3 B4        -
2.2.13     4.60     Am         A2           D3 D4 G3 E4 C4           -
2.2.24     4.70     Am         A2           D3 D4 G3 G4 E4 C4        -
2.2.36     4.80     Am         A2           D3 D4 G3 G4 C4 E4        -
2.2.47     4.90     Am         A2 G3        D3 D4 G4 C4 E4           -
2.2.58     5.00     Am         A2 G3        D3 D4 G4 C4 E4           -
2.2.69     5.10     Am         A2 G3        D3 D4 G4 C4 E4           -
2.2.80     5.20     Am         A2           D3 G3 C4 D4 G4 E4        -
2.2.91     5.30     C          D3           C4 G3 E4                 D5 A4
2.3.03     5.40     C          D3           C3 C4 G3 E4              D5 A4
2.3.14     5.50     C          E2           D3 C3 C4 E4 G3           D5
2.3.25     5.60     C          -            C3 C4 D3 E4 E3 G3 A4     -
2.3.36     5.70     C          G3           C3 C4 E4 E3 D3 A4        -
2.3.47     5.80     F#dim      G3 F#2       C3 E4 C4 A4              -
2.3.58     5.90     F#dim      G3 F#2       E4 D3 C4 A4              -
2.3.70     6.00     F#dim      G3 F#2       E4 D3 C4 A4              -
2.3.81     6.10     C          G3 E2        E4 D3 C4                 -
2.3.92     6.20     C          G3 E2        E4 D3 C4                 -
2.4.03     6.30     C          G3           D3 E4 E3 C4              -
2.4.14     6.40     C          G3 D3        E3 E4 C4                 -
2.4.25     6.50     F5         F2 G3        D3 E3 E4 C4              -
2.4.37     6.60     -          F#3          -                        -
2.4.48     6.70     -          F#3          -                        -
2.4.59     6.80     -          F#3          -                        -
2.4.70     6.90     -          F#3          -                        -
2.4.81     7.00     -          F#3 F#2      -                        -
2.4.92     7.10     D          F#3          D3                       -
3.1.03     7.20     D7         F#3          D3 C4                    -
3.1.15     7.30     Eaug       F#3 E2       D3 C4                    -
3.1.26     7.40     D7         F#3          D3 C4                    -
3.1.37     7.50     G5         G2 E3        G3 F#3 D4                D5 G4
3.1.48     7.60     G5         G2 E3        G3 D4 A3                 D5 G4
3.1.59     7.70     G5         G2 E3        G3 D3 D4 A3              D5 G4
3.1.71     7.80     G5         G2 E3        G3 D3 D4 F#4 G4 A3       -
3.1.82     7.90     G5         G2 E3        D3 D4 G4 A3 F#4          -
3.1.93     8.00     G5         G2 E3        D3 D4 A3 G4 F#4          -
3.2.04     8.10     G5         G2 E3        D3 D4 A3 G4              -
3.2.15     8.20     G5         G2 E3        D3 D4 A3                 -
3.2.26     8.30     G5         G2 E3        D3 D4                    -
3.2.38     8.40     G5         G2           E3 D3 D4                 -
3.2.49     8.50     G5         G2           E3 D3 D4                 -
3.2.60     8.60     G5         G2 E3        D3 D4                    -
3.2.71     8.70     G5         G2 E3        D3 D4                    -
3.2.82     8.80     G5         G2           D3 A3 F#3 E3             -
3.2.93     8.90     G5         G2           D3 A3 F#3 E3             F#4 D5
3.3.04     9.00     G5         F#3 G2       D3 A3 D4                 F#4 D5
3.3.16     9.10     G5         F#3 G2       D3 D4 A3                 D5
3.3.27     9.20     G5         F#3 G2       D3 D4 A3                 -
3.3.38     9.30     G5         F#3 G2       D3 D4 A3                 -
3.3.49     9.40     G5         F#3 G2       D3 D4 A3                 -
3.3.60     9.50     G5         F#3 G2       D3 D4 A3                 -
3.3.72     9.60     G5         F#3 G2       D3 D4 A3                 -
3.3.83     9.70     G5         F#3 G2       D3 D4 A3                 -
3.3.94     9.80     G5         F#3 G2       D3 D4 A3                 -
3.4.05     9.90     G5         F#3 G2       A3 A4 D4                 -
3.4.16     10.00    G5         F#3 G2       D4 A3 A4                 -
3.4.27     10.10    D          F#3          A3 D4                    -
3.4.39     10.20    D          F#3          A3 D4                    D5 A4
3.4.50     10.30    D          F#3          A3 D4                    D5 A4
3.4.61     10.40    G5         F#3 G2       A3 D4                    A4 D5
3.4.72     10.50    G5         F#3 G2       A3 A4 D4                 -
3.4.83     10.60    G5         F#3 G2       D3 A4 D4                 -
3.4.94     10.70    D          F#3 E2       D3 A4 D4                 -
4.1.06     10.80    D          F#3 E2       D3 A4 D4                 -
4.1.17     10.90    D          F2 F#3       F4 D4                    -
4.1.28     11.00    Dm         F2           D3 D4                    C5 A4
4.1.39     11.10    Dm         F2 A1        D3 A3 D4 A#3             C5 A4
4.1.50     11.20    D5         E2           D3 A3 D4 A#3             C5 A4
4.1.61     11.30    Dm         E2 G#1       D3 D4 A#3 F4 A3          -
4.1.73     11.40    Dm         G#1 E2       D3 D4 A#3 F4 A3          -
4.1.84     11.50    Dm         E2           D3 D4 A#3 F4 A3          -
4.1.95     11.60    Dm         E2           D3 D4 A#3 F4 A3          -
4.2.06     11.70    Dm         E2           D3 D4 A#3 A3 F4          -
4.2.17     11.80    Dm         E2           D3 D4 F4 A#3 A3          -
4.2.28     11.90    Dm         E2           D3 D4 F4 A#3 A3 A#4      -
4.2.40     12.00    Dm         E2 D3        D4 F4 A#3 A3 A#4         -
4.2.51     12.10    Dm         E2 D3        D4 F4 A3 A#3 A#4         -
4.2.62     12.20    Dm         E2           D3 D4 F4 A3 A#3          -
4.2.73     12.30    Dm         E2           D3 D4 F4 A3 A#3          -
4.2.84     12.40    Dm         E2           D3 D4 A3 F4 A#3 A#4      -
4.2.95     12.50    Dm         E2           D3 D4 A3 F4 A#3 A#4      -
4.3.07     12.60    Gm         G3           D4 F4 A#4                -
4.3.18     12.70    G5         G3           G4 D4 F4                 -
4.3.29     12.80    Gm         G3           D3 A#3 D4                D5 G4
4.3.40     12.90    D5         G3           D3 A#3 A3 D4             D5 G4
4.3.51     13.00    D5         G3           D3 A#3 D4 A3             D5 G4
4.3.62     13.10    Gm         A1           D3 A#3 D4 A3 G3          -
4.3.74     13.20    D5         A1           D3 A#3 D4 A3             -
4.3.85     13.30    D5         -            D3 D4 A#3 A3             -
4.3.96     13.40    D5         -            D3 D4 A#3 A3             -
4.4.07     13.50    A#         F2           G4 D3 D4 A#3             -
4.4.18     13.60    Gm         G2           G3 D3 D4 A#3             A4
4.4.29     13.70    Gm         -            G3 D3 D4 A#3             A4
4.4.41     13.80    Edim       E2           G3 D3 D4 A#3             A4
4.4.52     13.90    Edim       E2 G3 F#2    D3 D4 A#3                -
4.4.63     14.00    F#aug      F#2          G3 D3 D4 A#3             -
4.4.74     14.10    F#aug      F#2          G3 G4 D3 D4 A#3          -
4.4.85     14.20    F#aug      F#2          G3 D3 G4 D4 A#3          -
4.4.96     14.30    A5         A2           E4 D3 G3 A3              -
5.1.07     14.40    Dm         F2 A2        D3 E4 G3 A3              -
5.1.19     14.50    Dm         F2 A2        D3 B3 A3 G3              G4 F#4
5.1.30     14.60    D5         D2           D3 B3 B4 A3              G4 F#4
5.1.41     14.70    D5         D2           D3 B3 C#4 B4 A3          G4 F#4
5.1.52     14.80    D          D2           D3 C#4 F#4 A3            -
5.1.63     14.90    D          D2           D3 C#4 F#4 A3            -
5.1.75     15.00    D          D2           D3 C#4 A3 C#3 F#4        -
5.1.86     15.10    D          D2           D3 A3 C#3 C#4 F#4        -
5.1.97     15.20    D          D2           D3 A3 C#4 F#4            -
5.2.08     15.30    D          D2           D3 A3 C#4 F#4            -
5.2.19     15.40    D          D2           D3 A3 C#3 C#4 F#4        -
5.2.30     15.50    D          D2           D3 A3 C#3 C#4 F#4        -
5.2.42     15.60    D5         D2           D3 A3 C#4                -
5.2.53     15.70    D5         D2           D3 A3 C#4                -
5.2.64     15.80    D5         -            D3 C#4 A3                A4 F#4
5.2.75     15.90    D5         D3 D#2       C#4 A3                   A4 F#4
5.2.86     16.00    D5         D3 D#2       C#4 A3                   A4 F#4
5.2.97     16.10    D          D3 E2        C#4 E4 A3 F#4            -
5.3.08     16.20    D          E2 D3        C#4 E4 A3 F#4            -
5.3.20     16.30    D          E2           E4 C#4 D3 A3 F#4         -
5.3.31     16.40    A#dim      A#1          E4 D3 A3 C#4             -
5.3.42     16.50    A#dim      D3 A#1       E4 A3 A4 C#4             -
5.3.53     16.60    D5         D3           E4 A3 A4 C#4             -
5.3.64     16.70    D          D3 E2        E4 A3 A4 C#4 F#4         -
5.3.76     16.80    D          E2 D3        E4 E3 A3 C#4 F#4         -
5.3.87     16.90    D          E2 D3        A3 E3 E4 F#4             -
5.3.98     17.00    D5         E2 D3        A3 E3 E4                 -
5.4.09     17.10    A          E2 D3        C#4 A3 E4                -
5.4.20     17.20    Faug       F2 D3        C#4 A3                   C#5
5.4.31     17.30    C#m        E2 D3        C#3 C#4                  G#5 C#5
5.4.43     17.40    Faug       F2 D3        D4 C#4                   G#5 C#5
5.4.54     17.50    C#m        E2 D3        D4 C#3 C#4               G#5 C#5
5.4.65     17.60    Dmaj7      D3           D4 C#4                   D5 C#5
5.4.76     17.70    Dmaj7?     D3           D4 C#3 C#4               D5 C#5
5.4.87     17.80    A#         D3 A#2       C#4                      D5 C#5
5.4.98     17.90    A#         D3 A#2       -                        A4 F#4
6.1.09     18.00    A5         A2           E3 D3 A3                 A4 F#4
6.1.21     18.10    Am         A2           E3 A3 C3 C4              F#4 A4
6.1.32     18.20    Am         A2           E3 C3 C4 A3              F#4 A4
6.1.43     18.30    Am         A2           E3 E4 C4 A3 B3           -
6.1.54     18.40    Am         A2           E3 E4 B3 C4 A3           -
6.1.65     18.50    Am         A2           E3 E4 B3 A3 C4 G3        -
6.1.76     18.60    Am         A2           E4 B3 B4 G3 C4           -
6.1.88     18.70    Am         A2 A1        E4 B3 B4 G3 G4 C4        -
6.1.99     18.80    Am         A1 A2        E4 B3 B4 G3 G4 C4        -
6.2.10     18.90    Am         A2 A1        E3 E4 B3 G3 A3 C4        -
6.2.21     19.00    Am         A2 G3        E3 E4 B3 A3 C4           -
6.2.32     19.10    Am         A2 G3        E3 E4 A3 B3 C4           -
6.2.44     19.20    Am         A2 G3        E3 E4 B3 A3 G4 C4        -
6.2.55     19.30    Am         F#3 A2       E3 B3 C4 E4 A3           -
6.2.66     19.40    B5         F#3 A2       B3 C4                    B4
6.2.77     19.50    F#dim      F#3          C4                       B4 G#4
6.2.88     19.60    F#dim      F#3          C4                       B4 G#4
6.2.99     19.70    Cdim       F#3          C4 D#3                   G#4
6.3.10     19.80    Eaug       F#3 E2       G#4 D#3 D#4 C4           -
6.3.22     19.90    E          F#3 E2       G#4 D#3 D#4 B4 C4        -
6.3.33     20.00    E          F#3 E2       B3 D#4 G#4 B4 C4         -
6.3.44     20.10    B          F#2 F#3      B3 D#4 B4 G#4 C4         -
6.3.55     20.20    E5         F#3 E2       B3 D#4 B4 C4             -
6.3.66     20.30    E5         F#3 E2       B3 D#4 B4 E3 C4          -
6.3.78     20.40    E5         F#3 E2       B3 D#4 E3 B4 C4          -
6.3.89     20.50    E5         F#2 F#3 E2   D#3 D#4 B3 C4 B4         -
6.4        20.60    E          E2 F#2 F#3   D#4 G#4 C4 D#3 B3        -
6.4.11     20.70    E          E2           G#4 C4 B3                D5
6.4.22     20.80    -          -            C4                       D5
6.4.33     20.90    Am         A1           C4 B3                    D5 G#4
6.4.44     21.00    Am         A1           B3 C4 B4                 D5 G#4
6.4.56     21.10    E          E2           D#4 B3 G#4 B4 C4         -
6.4.67     21.20    G#         -            D#4 B3 B4 G#4 C4         -
6.4.78     21.30    Adim       D#2 A1       D#4 B3 B4 G#4 C4         -
6.4.89     21.40    Adim       D#2 A1       D#4 B3 B4 C4             -
7.1        21.50    E5         -            E3 A3 A4 B3              D5 E4
7.1.12     21.60    A5         -            E3 A3 A4                 D5 E4
7.1.23     21.70    A5         A1           E3 A3                    D5 E4
7.1.34     21.80    A5         A1           E3 E4 A3                 -
7.1.45     21.90    A5         E2 A1        E3 E4 A3 B3              -
7.1.56     22.00    A5         E2 A1        E3 E4 A3 B3              -
7.1.67     22.10    A5         E2           E3 E4 A3 A4              -
7.1.79     22.20    D5         D3           E3 E4 A3 A4              -
7.1.90     22.30    D5         D3 E2        E3 E4 A3                 -
7.2.01     22.40    E5         D3 E2        E3 E4 A3 B3              -
7.2.12     22.50    E5         D3 E2        A3 E3 E4 B3              -
7.2.23     22.60    D5         D3 E2        A3                       E4 D5
7.2.34     22.70    D5         D3           A3                       E4 D5
7.2.46     22.80    D5         D3           A3                       E4 D5
7.2.57     22.90    D          D3           A3 E3 F#4                A4 D5
7.2.68     23.00    D          E2 D3        A3 E3 F#4                A4 D5
7.2.79     23.10    A5         A1 E2        D3 A3 E3 F#4             D5 A4
7.2.90     23.20    A5         A1 E2        D3 A3 A4 E3 E4 F#4       -
7.3.01     23.30    D          D3 E2        A3 A4 E3 E4 F#4          -
7.3.13     23.40    D5         D3 E2        A3 A4 E3 E4              -
7.3.24     23.50    D5         D3 E2        A3 A4 E3 E4              -
7.3.35     23.60    D5         D3 E2        A3 A4 E3 E4              -
7.3.46     23.70    D5         D3 E2        A3 A4 E3 E4              -
7.3.57     23.80    D5         D3 E2        A3 A4 E3 E4              -
7.3.68     23.90    D5         D3 E2        A3 A4 E4                 -
7.3.80     24.00    D5         D3 E2        A3 A4                    -
7.3.91     24.10    D5         D3           A3                       -
7.4.02     24.20    D5         D3           A3                       -
7.4.13     24.30    D5         D2 D3        A3 E4                    -
7.4.24     24.40    D5         D3           A3 E4                    -
7.4.35     24.50    D5         D3           A3                       D5 A4
7.4.46     24.60    D5         D3           A3                       D5 A4
7.4.58     24.70    D5         D3           D#3 A3                   D5 A4
7.4.69     24.80    D5         D3           A3                       -
7.4.80     24.90    Dm         D3           F4 A3 C4                 -
7.4.91     25.00    D5         D3           A3 A#3 C4                D5 A4
8.1.02     25.10    D#5        D3 D#2       A3 A#3 C4                D5 A4
8.1.14     25.20    D#5        D3 D#2       A3 A#3 C4                D5 A4
8.1.25     25.30    Dm         D3 E2        A#3 F4 A3 C4 A4          -
8.1.36     25.40    Dm         D3 E2        F4 A#3 A3 C4 A4          -
8.1.47     25.50    A#         E2           A#3 D3 F4 C4             -
8.1.58     25.60    Csus2      C3           A#3 D3 C4                F4 A4
8.1.69     25.70    C5         C3           D3 C4 A3 G4              F4 A4
8.1.80     25.80    C5         C3           D3 A3 C4 G4              F4 A4
8.1.92     25.90    Em         B2 E2        D3 F4 A#4 A3 A4 G4 C4    -
8.2.03     26.00    Dm         C3 E2        D3 F4 C4 A3 A4           -
8.2.14     26.10    Dm         C3           D3 F4 C4 A3 A4           -
8.2.25     26.20    F          C3 F2        D3 A#3 A3 C4             A4 G4
8.2.36     26.30    F          F2 C3        D3 D4 A#3 A3             A4 G4
8.2.48     26.40    D5         C3           D3 D4 A#3 A3             A4 G4
8.2.59     26.50    Gm         C3 A1        D3 D4 A#3 A3 G4          -
8.2.70     26.60    Gm         C3 A1        D3 D4 A#3 A3 G4          -
8.2.81     26.70    Gm         A1           D3 D4 A#3 G4 A3          -
8.2.92     26.80    D5         -            D3 D4 A#3 G4 A3          -
8.3.03     26.90    Edim       E2           D3 D4 A#3 G4             -
8.3.14     27.00    Edim       E2           D3 D4 A#3 G4             -
8.3.26     27.10    C          C2 E2        D3 D4 A#3 G4 F4          -
8.3.37     27.20    Dm         -            D3 A3 D4 A#3 F4          -
8.3.48     27.30    Dm         C2 C3        D3 A3 D4 F4 A#3          -
8.3.59     27.40    Dm         -            A#3 D3 A3 D#3 F4         -
8.3.70     27.50    D5         C2           A#3 D3 A3                F4 A4
8.3.82     27.60    -          -            A#3                      F4 A4
8.3.93     27.70    Edim       E2           A#3                      F4 A4
8.4.04     27.80    Edim       E2 C3        A#3                      -
8.4.15     27.90    Csus2      C3           D3 A#3                   -
8.4.26     28.00    F5         C3 F2        D3 D4 A#3                A#4 A4
8.4.37     28.10    Csus2      C3           D3 D4 A#3                A#4 A4
8.4.49     28.20    D5         A2           D3 D4 A3 A#3             A#4 A4
8.4.60     28.30    D5         A2           D3 D4 A3 A#3             A#4 A4
8.4.71     28.40    D          A2           D3 D4 F#3 A3 A#3         A#4 A4
8.4.82     28.50    D          D2           D3 F#3 A3                A4
8.4.93     28.60    D          D2 F#3       D3 C#4 A3                B4 A4
9.1.04     28.70    F#5        D2 F#3       D3 C#4                   B4 A4
9.1.15     28.80    F#5        D2 F#3       C#4 D3                   B4 A4
9.1.27     28.90    D          D2 F#3       C#4 D3 A3                -
9.1.38     29.00    D          D2 F#3       D3 C#4 D4 A3             -
9.1.49     29.10    D          D2 F#3       D3 C#4 D4 A3             -
9.1.60     29.20    D          D2 F#3       D3 D4 C#4 A3             -
9.1.71     29.30    D          D2 F#3       D3 D4 C#4 A3             -
9.1.82     29.40    D          D2 F#3       D3 D4 C#4 A3             -
9.1.94     29.50    D          D2 F#3       D3 C#4 A3                -
9.2.05     29.60    D          D2 F#3       D3 C#4 A3                -
9.2.16     29.70    D          D2 F#3       D3 D4                    D5 A4
9.2.27     29.80    Dm         D2 F2        D3 D4                    D5 A4
9.2.38     29.90    Dm         D2 F2        E4 D3 D4                 D5 A4
9.2.50     30.00    -          D2           D3 D4                    D5 E4
9.2.61     30.10    Dsus2      E2 D2        D3 D4                    D5 E4
9.2.72     30.20    D          F#3          E3 D3 D4                 D5 E4
9.2.83     30.30    F#5        E2 E3 F#3    D3 C#4                   E4
9.2.94     30.40    F#5        E2 E3        F#3 F#4 D3 C#3 C#4       E4
9.3.05     30.50    F#5        E2 E3        F#3 F#4 D3 C#3 C#4       -
9.3.17     30.60    F#5        E3           D3 D4 F#3 C#3 C#4        E4 A5
9.3.28     30.70    D          E3 F#3       D3 D4                    E4 A5
9.3.39     30.80    D          E3 F#3       D3 D4                    E4 A5
9.3.50     30.90    Emin7      E3 E2        D3 D4                    -
9.3.61     31.00    Emin7      E2 E3        D3 D4                    -
9.3.72     31.10    Dsus2      E3           C#4 D3 D4                E4 D5
9.3.84     31.20    F#5        E3 F#3       C#4 D3 D4                E4 D5
9.3.95     31.30    F#5        E2 F#3       C#4 D3 D4 E3             E4 D5
9.4.06     31.40    F#5        E2 F#3       C#4 D3 D4 E3             -
9.4.17     31.50    D          F#3          C#4 D3 E3 D4 A3          -
9.4.28     31.60    D          F#3 E3       D3 C#3 C#4 A3 D4         -
9.4.39     31.70    F#m        F#3 E3       A3 C#4 D4                -
9.4.50     31.80    F#m        E2 F#3       C#4 A3 E3 D4             -
9.4.62     31.90    F#m        E2 F#3       E3 C#4 A3 D4             -
9.4.73     32.00    Am         A2           E3 C4 G3 A3              E4 C#5
9.4.84     32.10    Am         A2           E3 C4 G3 A3              E4 C#5
9.4.95     32.20    Am         A1 A2        C3 E3 C4 G3 A3           C#5
10.1.06    32.30    Am         A2 A1        C3 E3 C4 E4 A3 G3        -
10.1.17    32.40    Am         A1 A2        C3 E3 E4 C4 A3 G3        -
10.1.29    32.50    Am         A2 G3        E3 E4 A3 D3 C4 D4        -
10.1.40    32.60    Am         A2 G3        E3 D3 E4 A3 C4 D4        -
10.1.51    32.70    Am         A2 G3        D3 E4 E3 D4 C4           -
10.1.62    32.80    Am         A2 G3        D3 E3 E4 D4 C4           -
10.1.73    32.90    Am         A2 G3        C3 D3 D4 E4              -
10.1.85    33.00    Am         A2 G3        C3 D3 A3 D4 E4           -
10.1.96    33.10    Am         A2 G3        A3 D4 E3 E4 C4           -
10.2.07    33.20    Am         A2           D4 G3 A3 E4 E3 C4        -
10.2.18    33.30    D5         A2           D3 D4 G3 A3              D5 G4
10.2.29    33.40    D5         A2           D3 D4                    D5 G4
10.2.40    33.50    -          -            D3 D4                    D5 D5
10.2.52    33.60    -          -            D3 D4                    E4 D5
10.2.63    33.70    Dm         F2           D3 D4                    E4 D5
10.2.74    33.80    G5         F2 D3        G4                       E4
10.2.85    33.90    F5         F2 D3        G3 C4                    E4 G4
10.2.96    34.00    D5         A1 D3        C4 G3                    E4 G4
10.3.07    34.10    D5         A1           D3 C4 G3                 E4 G4
10.3.19    34.20    D7         F#3          D3 C4                    E4 F#4
10.3.30    34.30    C5         F#3          C3 G4 D3                 E4 F#4
10.3.41    34.40    C5         F#3          C3 G4 D3                 E4 F#4
10.3.52    34.50    Em         F#3          E4 G4                    -
10.3.63    34.60    F#min7     F#3          E4                       -
10.3.74    34.70    F#min7     F#3          E4                       -
10.3.86    34.80    F#min7     F#3          E4                       -
10.3.97    34.90    D          F#3          E4 D3                    -
10.4.08    35.00    D          F#3          E4 D3                    -
10.4.19    35.10    F#aug      F#3 F#2      E4 D3                    -
10.4.30    35.20    F#min7b5   F#2 F#3      E4 D3 C4                 -
10.4.41    35.30    C          F#3 D3       E4 C3 C4                 -
10.4.52    35.40    C          F#3 D3       E4 C3 C4                 -
10.4.64    35.50    G5         G2 F#3       G3 D3 A3                 -
10.4.75    35.60    G          G2 F#3       G3 D3 D4 B3 A3           D5 B4
10.4.86    35.70    G          G2 F#3       G3 D3 D4 B3              D5 B4
10.4.97    35.80    G          G2 F#3       G3 D3 B3 D4              D5 B4
11.1.08    35.90    G          G2 F#3       D3 B3 B4 D4 A3           -
11.1.19    36.00    G          G2 F#3       D3 B3 D4 B4 A3 G4        -
11.1.31    36.10    G          G2 F#3       B3 B4 D4 A3 G4           -
11.1.42    36.20    G          G2 F#3       B3 D4 A3 G4              -
11.1.53    36.30    G          G2 F#3       B3 D3 D4 B4 A3           -
11.1.64    36.40    G          G2           D3 D4 B3 F#3 E3 B4 A3    -
11.1.75    36.50    G          G2           D3 D4 F#3 B3 B4 A3       -
11.1.86    36.60    G          G2           D3 D4 B3 F#3 B4 A3       -
11.1.98    36.70    G          G2           D3 D4 F#3 B3 A3          -
11.2.09    36.80    G          G2           D3 D4 F#3 B3 A3          -
11.2.20    36.90    G5         G2           D3 D4                    A4 D5
11.2.31    37.00    G5         G2           D3 D4                    A4 D5
11.2.42    37.10    G5         G2           D4                       D5 A4
11.2.53    37.20    G5         G2           E3 D4                    E4
11.2.65    37.30    D          -            E3 F#3 D3                E4
11.2.76    37.40    D          F2 F#3       E3 D3                    E4 E4
11.2.87    37.50    Bm         F2 F#3       E3 D3 B3                 F#4 E4
11.2.98    37.60    Bm         F#3          D3 B3                    F#4 E4
11.3.09    37.70    Bm         F#3          D3 B3                    E4 F#4
11.3.21    37.80    F#aug      F#2 F#3      D3 D4                    D5 A4
11.3.32    37.90    F#aug      F#2 F#3      D3 D4                    D5 A4
11.3.43    38.00    F#aug      F#2 F#3      D3 D4                    D5 A4
11.3.54    38.10    F#aug      F#2 F#3      D3 D4                    -
11.3.65    38.20    F#aug      F#2 F#3      D3 D4                    -
11.3.76    38.30    F#aug      F#2 F#3      D3 D4                    -
11.3.88    38.40    D          F#3          D3 D4                    -
11.3.99    38.50    D          F#3 D3       D4                       -
11.4.10    38.60    Bm         F#3 D3       D4 B3                    -
11.4.21    38.70    Bm         F#3          D3 D4 B3                 -
11.4.32    38.80    D          F#3          D3 D4                    A5 D5
11.4.43    38.90    D          F#3          D3 D4                    A5 D5
11.4.54    39.00    D          F#3          D3 D4                    A5 D5
11.4.66    39.10    -          F2           F3                       D4 F4
11.4.77    39.20    A#5        F2 F3        A#3                      D4 F4
11.4.88    39.30    A#5        F2 F3        A#3                      F4 F4
11.4.99    39.40    A#5        F2 F3        A#3                      E4 F4
12.1.10    39.50    A#5        F2 F3        A#3 G4                   E4 F4
12.1.21    39.60    A#5        F2 F3        E3 E4 G4 A#3             -
12.1.33    39.70    D#         F#2          F3 D#3 G4 A#3            E4 F4
12.1.44    39.80    D#         -            F3 D#3 G4                E4 F4
12.1.55    39.90    F          -            A3 F3 G4                 E4 F4
12.1.66    40.00    Dm         F3           A3 F4 E4 D3 G4           -
12.1.77    40.10    G5         G2           A3 F3 E4 D3 F4 G4        -
12.1.89    40.20    A5         -            G3 G4 A3 E4 F3 F4        -
12.2       40.30    C5         G3           C3 A3 F3                 A4 G4
12.2.11    40.40    C5         G3           C3 A3 F3                 A4 G4
12.2.22    40.50    Gsus2      G2           G3 A3 F3                 A4 G4
12.2.33    40.60    A5         G2 E2        G3 E4 A3 F3              -
12.2.44    40.70    Fsus2      -            G3 E4 F3                 -
12.2.56    40.80    Edim       E2           D3 D4 A#3 F3 G3          D5 G4
12.2.67    40.90    Dm         F3           D3 D4 A#3 A3 G3          D5 G4
12.2.78    41.00    Dm         F3           D3 D4 A#3 A3             D5 G4
12.2.89    41.10    D5         E3           D3 D4 A#3 A3             E5 D5
12.3       41.20    Daug       E3           D3 D4 A#3                E5 D5
12.3.11    41.30    Emin7b5    E2 E3        D3 D4 A#3                E5 D5
12.3.23    41.40    Dm         E3 E2        D3 D4 F4                 -
12.3.34    41.50    Dm         E2 E3        D4 F4                    -
12.3.45    41.60    Dm         E3           D4 F4                    -
12.3.56    41.70    D5         D3           E3 A3                    -
12.3.67    41.80    Dm         D3 F3        A3                       -
