# Fused Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 72
# Total Notes: 1835

Bar    Beat     Dur    Note     Role     Vel
8      4.50     0.25   A4       melody   0.92
8      4.50     0.25   E4       chord    1.00
8      4.50     0.25   D2       bass     1.00

9      1.00     0.75   D5       melody   0.44
9      1.00     4.00   E4       melody   1.00
9      1.00     2.00   C#4      chord    0.41
9      1.00     3.00   E3       chord    0.82
9      1.00     0.25   D2       bass     1.00
9      1.50     3.00   E4       melody   1.00
9      1.50     3.00   D4       chord    1.00
9      2.00     1.00   D5       melody   0.58
9      2.00     3.00   E4       melody   1.00
9      2.00     3.00   D4       chord    0.75
9      2.00     3.00   A3       chord    0.81
9      3.00     1.50   C4       chord    0.81
9      3.00     1.50   A3       chord    0.72
9      3.00     1.50   G3       chord    0.64
9      3.00     1.50   E3       chord    0.59
9      4.50     0.50   D5       melody   1.00
9      4.50     0.25   G4       melody   0.55
9      4.50     4.00   D3       chord    0.48

10     1.00     2.00   E4       melody   1.00
10     1.00     0.50   F2       bass     1.00
10     1.00     0.25   A1       bass     1.00
10     1.50     3.00   A3       chord    0.35
10     1.50     3.00   F#3      bass     0.95
10     1.50     3.00   D3       chord    0.33
10     3.00     2.00   D5       melody   0.59
10     3.00     1.50   B3       chord    0.67
10     3.00     1.50   D3       chord    0.57
10     4.50     0.25   A4       melody   0.53

11     1.00     0.75   E3       chord    0.48
11     1.00     0.25   G2       bass     1.00
11     1.00     0.50   F2       bass     1.00
11     1.50     1.50   D5       melody   0.97
11     1.50     1.00   A4       melody   0.48
11     1.50     1.50   D3       chord    0.65
11     1.50     1.00   F#2      bass     0.85
11     2.50     0.25   A5       melody   0.40
11     2.50     0.25   D5       melody   1.00
11     2.50     0.25   F#3      bass     1.00
11     2.50     0.25   D3       chord    0.65
11     3.00     1.00   F4       melody   1.00
11     3.00     0.25   D4       melody   0.70
11     3.00     0.50   F2       bass     1.00
11     3.50     2.00   G4       chord    0.49
11     3.50     1.00   F4       melody   1.00
11     3.50     1.50   G3       chord    0.97
11     3.50     0.25   F2       bass     0.86
11     4.50     0.50   A4       melody   0.55
11     4.50     0.50   C3       chord    0.33

12     1.00     1.00   E5       melody   0.62
12     1.00     1.50   D5       melody   0.46
12     1.00     1.50   D5       melody   1.00
12     1.00     1.50   A#3      chord    0.77
12     1.00     1.00   A#3      chord    0.47
12     1.00     4.00   D3       chord    0.75
12     1.00     4.00   D3       chord    0.35
12     2.00     0.25   A4       melody   1.00
12     2.00     0.25   G4       chord    0.38
12     2.00     0.25   C3       bass     1.00
12     2.50     2.00   A2       bass     1.00
12     3.00     1.50   D2       bass     1.00
12     4.00     0.50   C#5      melody   0.50
12     4.00     0.50   F#3      chord    0.49
12     4.00     1.00   D3       chord    0.62
12     4.00     1.00   A2       bass     1.00
12     4.50     0.25   D5       melody   0.63
12     4.50     0.25   E4       melody   1.00
12     4.50     0.50   D4       chord    1.00
12     4.50     0.25   D3       chord    0.64
12     4.50     0.25   A2       bass     1.00

13     1.00     0.50   E4       melody   1.00
13     1.00     2.00   D4       chord    0.97
13     1.00     1.50   F#3      bass     0.80
13     1.50     0.75   A5       melody   0.61
13     1.50     1.50   D4       chord    1.00
13     1.50     1.00   F#3      bass     0.66
13     2.00     0.25   D5       melody   0.48
13     2.00     0.25   B3       chord    0.88
13     2.00     0.25   A3       chord    0.68
13     2.00     0.75   D3       chord    0.75
13     2.50     1.50   E4       chord    1.00
13     2.50     0.25   G#3      chord    0.45
13     3.00     1.00   C4       chord    0.79
13     3.00     1.00   B3       chord    0.43
13     3.00     1.00   A3       chord    0.49
13     3.00     1.00   E3       chord    0.58
13     4.00     0.50   C#5      melody   0.31
13     4.00     0.50   C5       melody   0.45
13     4.00     0.50   A3       chord    1.00
13     4.00     0.50   F#2      bass     0.80
13     4.50     1.00   D5       melody   0.66
13     4.50     0.25   C#5      melody   0.31
13     4.50     0.25   B4       melody   1.00
13     4.50     0.50   B3       chord    0.72
13     4.50     1.50   D3       chord    0.66

14     1.00     0.50   D5       melody   0.91
14     1.00     0.50   A4       chord    0.52
14     1.00     0.50   G4       melody   0.34
14     1.00     0.50   E4       chord    0.84
14     1.00     0.50   C4       chord    0.54
14     1.00     0.50   F#3      chord    0.64
14     2.00     0.50   G4       chord    0.31
14     2.00     2.00   E4       melody   0.93
14     2.00     0.50   B1       bass     0.38
14     2.50     2.00   E4       melody   1.00
14     2.50     0.50   D#4      chord    0.42
14     2.50     0.50   C4       chord    0.48
14     2.50     0.50   G#3      chord    0.34
14     3.00     1.50   E4       melody   1.00
14     3.00     2.00   B3       chord    0.63
14     4.50     0.25   F#5      melody   0.50
14     4.50     0.25   F#5      melody   0.50 (tie)
14     4.50     0.25   D5       melody   1.00
14     4.50     0.25   D5       melody   1.00 (tie)
14     4.50     0.25   D4       chord    1.00
14     4.50     0.25   D4       chord    1.00 (tie)

15     1.00     0.25   D5       melody   0.65
15     1.00     0.25   B4       melody   0.30
15     1.00     0.25   D3       chord    0.47
15     1.00     4.00   D3       chord    0.79
15     1.00     0.25   G2       bass     1.00
15     1.00     2.00   G2       bass     1.00
15     3.00     0.75   D5       melody   0.53
15     3.00     4.00   A#3      chord    0.37
15     3.00     3.00   F3       bass     1.00
15     3.00     3.00   D3       chord    0.64
15     3.00     0.25   G2       bass     1.00
15     3.50     4.00   G4       melody   1.00
15     3.50     4.00   A#3      chord    0.64

16     1.00     0.25   D5       melody   0.32
16     1.00     3.00   G4       melody   1.00
16     1.00     0.50   D4       chord    0.71
16     1.00     3.00   A#3      chord    0.40
16     1.50     2.00   G4       melody   0.78
16     1.50     0.75   F4       melody   1.00
16     1.50     2.00   A#3      chord    0.78
16     3.00     2.00   A3       chord    0.70
16     3.00     2.00   F#3      chord    0.76
16     3.00     4.00   E3       chord    0.62
16     3.00     1.50   D3       chord    0.97
16     3.50     1.50   A3       chord    0.78
16     3.50     1.50   F#3      bass     0.90
16     3.50     4.00   E3       chord    0.53
16     3.50     0.50   D3       chord    0.72
16     4.00     1.00   D5       melody   1.00
16     4.00     1.50   A4       melody   1.00
16     4.00     0.75   C#3      chord    0.94

17     1.00     0.25   D5       melody   0.41
17     1.00     3.00   E4       melody   1.00
17     1.00     0.25   C#4      chord    0.53
17     1.00     0.25   A3       chord    0.64
17     1.00     0.25   F#3      bass     0.44
17     1.00     0.50   F#3      chord    0.61
17     1.50     0.50   A3       chord    0.49
17     1.50     1.00   D3       chord    0.50
17     2.00     2.00   B4       melody   0.35
17     2.00     0.25   A3       chord    0.44
17     2.00     2.00   E3       chord    0.64
17     2.00     0.75   D3       chord    0.52
17     2.00     0.50   A1       bass     0.79
17     3.00     1.00   B4       melody   0.70
17     3.00     0.75   C4       chord    0.69
17     3.00     2.00   B3       chord    0.60
17     3.00     0.75   G3       chord    0.72
17     3.00     1.00   E3       chord    0.80
17     3.00     0.75   E3       chord    0.56
17     4.00     0.50   B5       melody   1.00
17     4.00     1.00   D5       melody   0.95
17     4.00     0.25   G4       melody   0.81
17     4.00     0.25   G4       chord    1.00
17     4.00     0.50   E4       chord    0.78
17     4.00     0.50   C4       chord    0.94
17     4.00     1.00   B3       chord    1.00
17     4.50     0.25   A#4      chord    0.48
17     4.50     1.50   D3       chord    0.46

18     1.00     1.50   B4       melody   1.00
18     1.00     0.25   F2       bass     1.00
18     1.50     1.00   B4       melody   0.78
18     1.50     0.25   C4       chord    0.36
18     1.50     0.50   F#3      bass     1.00
18     2.00     0.75   E4       melody   1.00
18     2.00     0.25   B1       bass     1.00
18     2.50     0.25   D5       melody   0.31
18     2.50     0.50   C5       melody   0.49
18     2.50     1.50   D4       chord    1.00
18     2.50     0.50   A#3      chord    0.35
18     3.00     1.00   F#5      melody   0.36
18     3.00     3.00   B3       chord    0.85
18     3.00     1.00   G3       chord    1.00
18     3.50     0.75   G4       chord    0.57
18     3.50     0.75   E3       chord    0.33
18     3.50     1.00   D3       chord    0.47 (tie)
18     4.00     1.00   D5       melody   0.68
18     4.50     0.75   B5       melody   0.96
18     4.50     0.25   F#3      chord    0.53
18     4.50     3.00   D3       chord    0.50
18     4.50     0.50   C#3      chord    0.65

19     1.00     1.00   B3       chord    0.55
19     1.00     2.00   F#3      bass     1.00
19     1.00     2.00   F#3      bass     1.00
19     1.00     1.50   E3       chord    0.52
19     2.50     0.75   A5       melody   0.44
19     2.50     0.75   D5       melody   0.95
19     2.50     0.75   D4       chord    1.00
19     2.50     0.25   B3       chord    1.00 (tie)
19     3.00     0.25   A5       melody   0.94
19     3.00     0.25   D5       melody   1.00
19     3.00     0.25   F#3      bass     1.00
19     3.00     0.75   D3       chord    0.46
19     3.50     0.25   D5       melody   0.91
19     3.50     2.00   A#3      chord    0.53
19     3.50     0.50   F2       bass     0.76
19     4.00     1.50   G4       melody   1.00
19     4.00     1.00   A#3      chord    1.00

20     1.00     0.25   G3       chord    0.54
20     1.00     0.25   D3       chord    0.47
20     1.00     0.25   F2       bass     1.00
20     1.50     1.50   D5       melody   0.58
20     1.50     1.50   D5       melody   0.39
20     1.50     1.50   D4       chord    1.00
20     1.50     0.75   F3       bass     1.00
20     1.50     0.50   F2       bass     0.74
20     2.00     0.25   A5       melody   0.39
20     2.00     1.00   D5       melody   1.00
20     2.00     0.25   C5       melody   1.00
20     2.00     0.25   D3       chord    0.57
20     2.50     0.25   A5       melody   0.56
20     2.50     0.75   A#3      chord    1.00
20     3.00     0.75   A#4      melody   0.47
20     3.00     0.25   G4       melody   0.72
20     3.00     0.75   F#4      chord    0.45
20     3.00     0.75   F4       melody   1.00
20     3.00     0.25   D4       chord    0.66
20     3.00     0.75   C#4      chord    0.92
20     3.00     0.25   A#3      chord    0.86
20     3.00     2.00   A3       chord    0.68
20     4.00     0.50   B5       melody   0.45
20     4.00     1.00   D5       melody   1.00
20     4.00     0.50   C2       bass     1.00
20     4.50     0.50   A4       melody   0.48
20     4.50     0.75   B3       chord    0.60

21     1.00     0.75   B4       melody   1.00
21     1.00     0.25   D3       chord    0.70 (tie)
21     1.00     0.25   F2       bass     1.00 (tie)
21     1.50     0.25   D5       melody   0.59
21     1.50     0.25   C2       bass     0.57
21     2.00     0.25   E5       melody   0.40
21     2.00     0.25   F#4      melody   0.58
21     2.00     0.25   F#4      melody   0.58 (tie)
21     2.00     0.50   D4       chord    1.00
21     2.50     0.50   A4       melody   0.87
21     2.50     0.50   F#4      melody   0.56
21     2.50     0.50   E4       melody   1.00
21     2.50     0.25   E3       chord    0.43
21     3.00     0.25   A4       melody   0.63
21     3.50     0.50   C5       melody   0.54
21     3.50     0.50   A4       chord    1.00
21     3.50     0.50   E4       chord    0.68
21     3.50     1.00   C4       chord    1.00
21     3.50     2.00   B3       chord    0.66
21     4.00     0.75   A4       melody   0.75
21     4.00     0.25   G4       melody   0.67
21     4.50     1.00   D5       melody   1.00
21     4.50     0.25   B4       chord    1.00
21     4.50     1.00   G3       chord    0.70
21     4.50     1.00   E3       chord    0.37
21     4.50     0.25   C3       chord    0.40
21     4.50     0.50   A2       bass     0.90

22     1.00     0.25   D5       melody   0.72
22     1.00     1.00   B4       melody   1.00
22     1.00     0.25   G3       chord    0.33
22     1.00     0.50   E3       chord    0.51
22     1.00     0.50   F2       bass     1.00
22     1.50     0.25   D3       chord    0.66
22     1.50     0.50   F#2      bass     1.00
22     2.00     0.50   D5       melody   0.73
22     2.00     0.25   B4       melody   0.34
22     2.00     0.25   F#3      bass     1.00
22     2.00     0.25   D3       chord    0.67
22     2.00     0.50   D3       chord    0.68
22     2.50     1.00   C5       melody   0.89
22     2.50     0.25   F4       chord    1.00
22     2.50     1.00   A#3      chord    0.71
22     2.50     0.50   G#2      bass     1.00
22     3.00     1.50   A#4      melody   0.67
22     3.00     0.25   F4       melody   1.00
22     3.00     0.25   G#3      chord    0.63
22     3.50     1.00   B4       melody   0.52
22     3.50     0.50   A4       melody   0.56
22     3.50     0.50   G4       chord    0.63
22     3.50     0.50   D4       chord    0.94
22     3.50     0.50   B3       chord    0.62
22     3.50     3.00   D3       chord    0.94
22     3.50     2.00   G2       bass     1.00
22     4.00     1.00   D5       melody   0.38
22     4.00     0.25   A3       chord    0.51
22     4.50     0.75   B5       melody   0.78
22     4.50     0.50   E5       melody   0.53
22     4.50     2.00   B3       chord    0.65
22     4.50     2.00   F#3      bass     0.93

23     1.00     0.25   D5       melody   1.00 (tie)
23     1.00     0.25   E3       chord    0.67
23     1.00     0.25   E3       chord    0.40 (tie)
23     1.50     0.50   B5       melody   1.00
23     1.50     0.25   D5       melody   0.51
23     1.50     1.50   B4       melody   0.94
23     1.50     1.00   B3       chord    0.36
23     1.50     1.00   F#3      bass     1.00
23     1.50     0.25   E3       chord    0.54
23     1.50     0.50   D3       chord    0.58
23     1.50     0.25   F2       bass     1.00
23     2.00     0.50   F#4      chord    0.82
23     2.00     0.75   E3       chord    0.62
23     2.50     0.25   D5       melody   0.62
23     2.50     0.50   E3       chord    0.60
23     2.50     0.25   G2       bass     1.00
23     2.50     0.25   B1       bass     0.36
23     3.00     3.00   D5       melody   0.75
23     3.00     0.25   B4       melody   0.37
23     3.50     3.00   D4       chord    0.92
23     3.50     1.00   A#3      chord    0.73
23     3.50     1.00   A3       chord    0.40
23     3.50     2.00   G3       chord    0.78
23     4.00     3.00   D5       melody   0.63
23     4.00     0.75   A#3      chord    0.45
23     4.00     2.00   G3       chord    0.74
23     4.00     1.50   D3       chord    0.51
23     4.50     2.00   D5       melody   0.36
23     4.50     0.50   G#4      melody   1.00
23     4.50     0.50   G4       chord    1.00
23     4.50     0.75   D3       chord    0.51
23     4.50     0.50   E2       bass     1.00

24     1.00     0.25   E5       melody   0.46
24     1.00     0.25   B4       chord    0.60
24     1.50     0.50   D5       melody   0.85
24     1.50     2.00   A#3      chord    0.98
24     1.50     1.50   C2       bass     1.00
24     2.00     0.50   D5       melody   0.82
24     2.00     1.00   A#3      chord    0.57
24     2.00     3.00   D3       chord    0.61
24     2.50     0.50   A#4      melody   0.36
24     2.50     0.75   A4       melody   1.00
24     2.50     0.50   E4       chord    0.31
24     3.00     0.25   A4       melody   1.00
24     3.00     1.00   F#4      melody   0.93
24     3.00     1.00   A3       chord    0.37
24     3.00     0.25   G3       chord    1.00
24     3.00     0.50   C2       bass     0.77
24     3.50     0.75   B5       melody   0.83
24     3.50     1.00   C#4      chord    1.00
24     3.50     0.25   F#3      chord    0.38
24     4.00     0.25   B4       melody   1.00 (tie)
24     4.00     0.75   E3       chord    0.58
24     4.00     0.25   C#3      chord    0.65
24     4.00     0.50   A2       bass     1.00
24     4.50     0.25   G#5      melody   0.34
24     4.50     0.25   C#5      melody   0.37
24     4.50     0.25   B4       melody   1.00 (tie)
24     4.50     0.75   E3       chord    0.46
24     4.50     0.25   C#3      chord    0.58
24     4.50     0.75   A2       bass     1.00

25     1.00     0.25   G#5      melody   0.40
25     1.00     0.50   D5       melody   1.00
25     1.00     0.25   A4       chord    0.53
25     1.00     0.25   F#4      chord    0.43
25     1.00     0.25   E4       chord    0.66
25     1.00     0.75   E3       chord    0.81
25     1.00     0.75   C#3      chord    0.89
25     1.00     0.50   A2       bass     1.00
25     1.50     0.75   B5       melody   1.00
25     1.50     0.25   D5       melody   1.00
25     1.50     0.25   C#5      melody   0.33
25     1.50     1.00   A3       chord    0.46
25     1.50     0.25   F#3      chord    0.67
25     1.50     0.75   E3       bass     1.00
25     1.50     0.25   C#3      chord    0.38
25     2.00     0.75   B4       melody   0.57
25     2.00     1.00   A3       chord    0.62
25     2.00     0.50   E3       bass     1.00
25     2.00     1.00   D3       chord    0.83
25     2.50     0.25   F#4      chord    0.83
25     2.50     0.50   D4       chord    1.00
25     2.50     0.25   F#3      chord    0.34 (tie)
25     2.50     0.25   B1       bass     0.47
25     3.00     1.00   D5       melody   0.82
25     3.00     1.00   D5       melody   0.98
25     3.00     0.50   D4       chord    1.00
25     3.00     0.50   A3       chord    0.57
25     3.00     0.25   D3       chord    0.99
25     3.00     1.00   A#2      bass     1.00
25     4.00     0.50   C5       melody   0.34
25     4.00     0.75   C4       chord    0.92
25     4.00     0.25   A3       chord    0.47
25     4.00     0.75   G3       chord    0.84
25     4.00     0.50   C3       chord    0.59
25     4.50     0.25   B4       melody   0.49
25     4.50     0.25   G#4      melody   1.00
25     4.50     0.25   E3       chord    0.96
25     4.50     0.50   C#3      chord    1.00
25     4.50     0.25   F#2      bass     0.53

26     1.00     0.25   A5       melody   0.44
26     1.00     0.25   D5       melody   1.00
26     1.00     0.25   A3       chord    0.76
26     1.50     0.25   B5       melody   1.00
26     1.50     1.00   D5       melody   1.00
26     1.50     0.50   C4       chord    0.72
26     1.50     0.50   A3       chord    0.49
26     1.50     1.00   D3       chord    1.00
26     1.50     0.25   C3       chord    0.42
26     2.00     0.50   B4       melody   0.54
26     2.00     0.50   A4       chord    1.00
26     2.00     0.50   C#2      bass     1.00
26     2.50     1.50   B4       melody   0.63
26     2.50     0.25   E3       chord    0.63
26     3.00     0.50   D2       bass     0.48
26     3.50     0.50   B3       chord    0.33
26     3.50     0.50   G3       chord    1.00
26     3.50     2.00   D3       chord    0.81
26     4.00     0.50   A4       melody   0.64
26     4.00     0.75   G4       melody   0.96
26     4.00     1.50   D4       chord    1.00
26     4.50     0.75   A3       chord    1.00

27     1.00     1.00   D5       melody   0.56
27     1.00     0.75   D5       melody   0.89
27     1.00     1.50   B3       chord    0.65
27     1.00     0.50   A3       chord    0.85
27     1.00     0.25   A3       chord    0.37
27     1.00     2.00   F#3      bass     1.00
27     1.00     1.50   F#3      bass     0.93
27     1.00     0.50   D3       chord    0.76
27     1.00     0.50   D3       chord    0.73
27     1.50     0.50   E3       chord    0.30
27     1.50     0.50   G2       bass     0.49
27     2.00     0.75   B3       chord    0.91
27     2.00     0.75   F#3      bass     1.00
27     2.00     2.00   D3       chord    0.50
27     3.00     0.50   C5       melody   0.78
27     3.00     1.00   C4       chord    0.63
27     3.00     0.50   A3       chord    0.58
27     4.00     1.00   D5       melody   0.56
27     4.00     1.00   D3       chord    1.00
27     4.00     0.50   E2       bass     1.00

28     1.00     0.25   D5       melody   0.79 (tie)
28     1.00     0.25   C5       melody   1.00
28     1.00     0.50   C5       melody   0.93
28     1.00     0.25   G4       chord    0.82 (tie)
28     1.00     0.75   A#3      chord    0.71
28     1.00     0.25   E3       chord    0.72 (tie)
28     1.00     0.25   E3       chord    0.72
28     1.00     0.25   D3       chord    0.63 (tie)
28     1.00     0.50   D3       chord    0.63
28     1.00     0.25   C3       bass     1.00 (tie)
28     1.00     0.50   C3       bass     0.47
28     1.50     0.75   A#4      melody   0.52
28     1.50     0.25   A4       melody   1.00
28     1.50     0.75   C4       chord    0.50
28     1.50     0.75   F2       bass     1.00
28     2.00     0.50   G3       chord    0.46
28     2.00     1.50   D3       chord    0.81
28     2.00     0.50   C3       chord    0.36
28     2.50     0.75   C#5      melody   0.35
28     2.50     0.25   G4       melody   0.56 (tie)
28     2.50     0.50   F#4      chord    0.68
28     2.50     1.00   C#4      chord    1.00
28     2.50     0.25   A#3      chord    1.00 (tie)
28     3.00     0.25   C#5      melody   1.00
28     3.00     0.50   D2       bass     1.00
28     3.50     0.25   G#5      melody   0.31
28     3.50     0.25   F#5      melody   0.48
28     3.50     0.25   F#4      melody   0.78
28     4.00     0.75   D5       melody   0.43
28     4.00     0.25   B4       melody   0.54
28     4.00     0.25   B4       melody   0.54 (tie)
28     4.00     0.25   G3       bass     0.69
28     4.00     3.00   F#3      bass     1.00
28     4.00     0.25   E3       chord    0.73 (tie)
28     4.50     0.25   D5       melody   0.41
28     4.50     0.75   C#5      melody   0.31
28     4.50     0.50   E3       chord    0.47
28     4.50     0.25   B1       bass     0.32

29     1.00     0.75   D5       melody   1.00
29     1.00     1.50   B4       melody   0.50
29     1.00     0.75   E2       bass     1.00
29     1.50     0.50   F#2      bass     0.85
29     2.00     0.75   B4       melody   0.60
29     2.00     0.50   A3       chord    0.60
29     2.00     1.50   D3       chord    0.63
29     2.00     0.25   F#2      bass     0.90
29     2.50     1.00   D5       melody   0.45
29     2.50     1.00   A3       chord    0.51
29     2.50     0.75   D3       chord    0.80
29     2.50     1.00   B2       bass     1.00
29     4.00     0.25   C5       melody   0.89
29     4.00     0.25   G#4      melody   0.91
29     4.00     0.50   C4       chord    1.00
29     4.00     0.25   G#3      chord    0.82
29     4.00     0.50   F#3      bass     0.45
29     4.00     0.25   E3       chord    1.00
29     4.50     0.25   D5       melody   1.00
29     4.50     0.25   D3       chord    0.54
29     4.50     0.25   A2       bass     1.00

30     1.00     0.25   G5       melody   0.62
30     1.00     0.25   D5       melody   0.85
30     1.00     0.25   G3       chord    0.45
30     1.00     0.25   A2       bass     1.00
30     1.50     0.25   B5       melody   0.89
30     1.50     1.00   D5       melody   0.63
30     1.50     1.50   D3       chord    0.82
30     1.50     0.50   A2       bass     1.00
30     2.00     0.50   G4       chord    0.41
30     2.00     0.50   E3       chord    0.56
30     2.00     0.25   C3       chord    0.44
30     2.00     0.25   F#2      bass     0.85
30     2.50     0.50   C5       melody   0.66
30     2.50     0.50   A4       chord    0.78
30     2.50     0.75   C4       chord    0.92
30     2.50     0.75   F#3      bass     1.00
30     2.50     0.50   E3       chord    0.54
30     2.50     0.75   D3       chord    0.67
30     3.00     0.25   E4       melody   1.00
30     3.00     0.25   D4       chord    0.65
30     3.00     0.25   B3       chord    0.50
30     3.00     3.00   B3       chord    0.50
30     3.00     0.25   G3       chord    0.65
30     3.00     3.00   F#3      bass     0.35
30     3.00     4.00   D3       chord    0.93
30     3.50     0.75   D5       melody   0.35
30     3.50     0.50   D5       melody   0.40
30     3.50     0.75   D4       chord    1.00
30     3.50     0.50   D4       chord    1.00
30     3.50     1.00   A3       chord    1.00
30     3.50     3.00   F#3      bass     0.49
30     4.00     0.75   A4       melody   1.00
30     4.00     0.25   F#4      melody   0.85
30     4.50     0.75   D5       melody   1.00
30     4.50     0.50   C#5      melody   0.49
30     4.50     0.50   E3       chord    0.38
30     4.50     0.25   G2       bass     0.70 (tie)

31     1.00     2.00   A4       melody   1.00
31     1.00     0.50   F2       bass     1.00
31     1.50     0.75   B4       melody   0.43
31     1.50     2.00   A4       melody   1.00
31     1.50     1.50   A4       melody   1.00
31     1.50     0.75   F#3      bass     0.81
31     1.50     1.50   D3       chord    1.00
31     1.50     0.25   G2       bass     0.50
31     2.00     0.50   F#4      chord    0.62
31     2.50     0.75   D5       melody   0.55
31     2.50     1.00   A#3      chord    0.45
31     2.50     0.75   A#3      chord    0.52
31     2.50     0.75   D3       chord    0.81
31     2.50     1.00   C3       bass     1.00
31     2.50     0.75   C3       bass     0.98
31     3.50     0.25   E5       melody   1.00
31     3.50     1.50   C5       melody   0.83
31     3.50     0.75   F4       chord    0.65
31     3.50     1.00   C4       chord    0.81
31     3.50     2.00   A#3      chord    0.53
31     3.50     2.00   A#3      chord    0.53
31     3.50     0.25   A3       chord    0.55
31     4.50     0.50   A4       chord    0.57
31     4.50     0.50   F#4      chord    0.50
31     4.50     0.50   A#1      bass     0.62
31     5.00     1.50   A#4      chord    1.00
31     5.00     4.00   D3       chord    0.72

32     1.50     0.25   A4       melody   0.38
32     1.50     0.25   B1       bass     0.69
32     2.00     2.00   A4       melody   0.35
32     2.00     3.00   D3       chord    0.47
32     2.00     0.75   F2       bass     1.00
32     2.50     2.00   D3       chord    0.54
32     3.00     0.75   G#4      melody   0.38
32     3.00     1.00   D2       bass     1.00
32     3.50     0.75   A1       bass     0.48
32     4.00     0.25   B3       chord    0.36
32     4.00     0.25   A3       chord    0.50
32     4.00     0.50   E3       chord    1.00
32     4.50     0.50   C#5      melody   0.47
32     4.50     0.50   F#2      bass     0.80

33     1.00     0.25   C#5      melody   0.79
33     1.00     0.75   C#5      melody   0.79
33     1.00     0.25   D3       chord    0.99
33     1.00     0.75   D3       chord    0.66
33     1.00     0.25   A2       bass     1.00
