# Fused Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 72
# Total Notes: 1835

Bar    Beat     Dur    Note     Role     Vel
5      4.25     0.75   C#5      melody   1.00
5      4.25     0.50   C#3      chord    0.35
5      4.25     0.25   E2       bass     1.00
5      4.50     0.50   D5       melody   0.82
5      4.75     2.00   A4       melody   0.49
5      4.75     2.00   F#4      melody   1.00

6      1.00     4.00   B3       chord    0.49
6      1.00     3.00   F#3      bass     1.00
6      1.00     1.50   E3       chord    0.58
6      2.75     2.00   G#4      melody   1.00
6      2.75     1.50   D#4      chord    0.97
6      2.75     2.00   C4       chord    0.48
6      2.75     1.50   F#3      bass     0.93
6      4.00     4.00   D5       melody   1.00
6      4.25     0.75   D#4      chord    1.00
6      4.25     0.75   C4       chord    0.42
6      4.25     2.00   A1       bass     1.00

7      1.00     4.00   D5       melody   1.00
7      1.00     4.00   A3       chord    0.51
7      1.00     1.00   E3       chord    0.51
7      1.00     4.00   D3       bass     1.00
7      2.25     3.00   D5       melody   0.55
7      2.25     2.00   E2       bass     0.58
7      2.50     3.00   D5       melody   0.34
7      2.50     4.00   A3       chord    0.61
7      2.50     2.00   E3       chord    0.33
7      4.25     3.00   C4       chord    0.41
7      4.25     0.50   D#3      chord    0.88
7      4.75     4.00   A#3      chord    0.74

8      1.50     3.00   A#3      chord    1.00
8      1.50     4.00   D3       chord    0.76
8      1.50     3.00   C3       bass     1.00
8      2.25     3.00   A#3      chord    0.50
8      2.25     4.00   D3       chord    0.68
8      2.25     2.00   C3       bass     0.84
8      3.75     1.00   A#3      chord    1.00
8      3.75     3.00   D3       chord    0.69
8      4.25     0.75   A#4      melody   1.00
8      4.25     2.00   D4       chord    1.00
8      4.25     0.25   F2       bass     0.88
8      4.50     0.50   A2       bass     1.00
8      4.75     1.50   B4       melody   0.74
8      4.75     1.50   A4       melody   0.58
8      4.75     1.50   D4       chord    1.00

9      2.25     0.25   D5       melody   1.00
9      2.25     0.25   A4       melody   0.92
9      2.25     0.25   E4       chord    1.00
9      2.25     0.25   D2       bass     1.00
9      2.50     0.75   D5       melody   0.44
9      2.50     4.00   E4       melody   1.00
9      2.50     0.25   D2       bass     1.00
9      2.75     2.00   C#4      chord    0.41
9      2.75     3.00   E3       chord    0.82
9      3.25     3.00   E4       melody   1.00
9      3.25     3.00   D4       chord    1.00
9      3.75     1.00   D5       melody   0.58
9      3.75     3.00   E4       melody   1.00
9      3.75     3.00   D4       chord    0.75
9      3.75     3.00   A3       chord    0.81
9      4.75     1.50   C4       chord    0.81
9      4.75     1.50   A3       chord    0.72
9      4.75     1.50   G3       chord    0.64
9      4.75     1.50   E3       chord    0.59

10     2.25     0.50   D5       melody   1.00
10     2.25     0.25   G4       melody   0.55
10     2.25     4.00   D3       chord    0.48
10     2.50     2.00   E4       melody   1.00
10     2.50     0.50   F2       bass     1.00
10     2.75     0.25   A1       bass     1.00
10     3.25     3.00   A3       chord    0.35
10     3.25     3.00   F#3      bass     0.95
10     3.25     3.00   D3       chord    0.33
10     4.75     2.00   D5       melody   0.59
10     4.75     1.50   B3       chord    0.67
10     4.75     1.50   D3       chord    0.57

11     2.25     0.25   A4       melody   0.53
11     2.50     0.75   E3       chord    0.48
11     2.50     0.25   G2       bass     1.00
11     2.75     0.50   F2       bass     1.00
11     3.25     1.50   D5       melody   0.97
11     3.25     1.00   A4       melody   0.48
11     3.25     1.50   D3       chord    0.65
11     3.25     1.00   F#2      bass     0.85
11     4.25     0.25   A5       melody   0.40
11     4.25     0.25   D5       melody   1.00
11     4.25     0.25   F#3      bass     1.00
11     4.25     0.25   D3       chord    0.65
11     4.75     1.00   F4       melody   1.00
11     4.75     0.25   D4       melody   0.70
11     4.75     0.50   F2       bass     1.00

12     1.00     2.00   G4       chord    0.49
12     1.00     1.00   F4       melody   1.00
12     1.00     0.25   F2       bass     0.86
12     1.25     1.50   G3       chord    0.97
12     2.00     0.50   A4       melody   0.55
12     2.00     0.50   C3       chord    0.33
12     2.50     1.50   D5       melody   0.46
12     2.50     1.50   A#3      chord    0.77
12     2.50     4.00   D3       chord    0.75
12     2.75     1.00   E5       melody   0.62
12     2.75     1.50   D5       melody   1.00
12     2.75     1.00   A#3      chord    0.47
12     2.75     4.00   D3       chord    0.35
12     3.75     0.25   A4       melody   1.00
12     3.75     0.25   G4       chord    0.38
12     3.75     0.25   C3       bass     1.00
12     4.25     2.00   A2       bass     1.00
12     4.50     1.50   D2       bass     1.00

13     1.50     0.50   C#5      melody   0.50
13     1.50     0.50   F#3      chord    0.49
13     1.50     1.00   D3       chord    0.62
13     1.50     1.00   A2       bass     1.00
13     2.00     0.50   D4       chord    1.00
13     2.25     0.25   D5       melody   0.63
13     2.25     0.25   E4       melody   1.00
13     2.25     0.25   D3       chord    0.64
13     2.25     0.25   A2       bass     1.00
13     2.50     0.50   E4       melody   1.00
13     2.50     2.00   D4       chord    0.97
13     2.50     1.50   F#3      bass     0.80
13     3.00     0.75   A5       melody   0.61
13     3.00     1.50   D4       chord    1.00
13     3.00     1.00   F#3      bass     0.66
13     3.75     0.25   D5       melody   0.48
13     3.75     0.25   B3       chord    0.88
13     3.75     0.25   A3       chord    0.68
13     3.75     0.75   D3       chord    0.75
13     4.25     1.50   E4       chord    1.00
13     4.25     0.25   G#3      chord    0.45
13     4.50     1.00   C4       chord    0.79
13     4.50     1.00   B3       chord    0.43
13     4.50     1.00   A3       chord    0.49
13     4.50     1.00   E3       chord    0.58

14     1.50     0.50   C5       melody   0.45
14     1.50     0.50   F#2      bass     0.80
14     1.75     0.50   C#5      melody   0.31
14     1.75     0.50   A3       chord    1.00
14     2.00     0.25   C#5      melody   0.31
14     2.00     0.50   B3       chord    0.72
14     2.25     1.00   D5       melody   0.66
14     2.25     0.25   B4       melody   1.00
14     2.25     1.50   D3       chord    0.66
14     2.75     0.50   D5       melody   0.91
14     2.75     0.50   A4       chord    0.52
14     2.75     0.50   G4       melody   0.34
14     2.75     0.50   E4       chord    0.84
14     2.75     0.50   C4       chord    0.54
14     2.75     0.50   F#3      chord    0.64
14     3.50     0.50   G4       chord    0.31
14     3.50     2.00   E4       melody   0.93
14     3.50     0.50   B1       bass     0.38
14     4.00     2.00   E4       melody   1.00
14     4.00     0.50   D#4      chord    0.42
14     4.00     0.50   C4       chord    0.48
14     4.00     0.50   G#3      chord    0.34
14     4.50     1.50   E4       melody   1.00
14     4.50     2.00   B3       chord    0.63

15     2.00     0.25   F#5      melody   0.50
15     2.00     0.25   D5       melody   1.00
15     2.00     0.25   D4       chord    1.00
15     2.25     0.25   F#5      melody   0.50 (tie)
15     2.25     0.25   D5       melody   1.00 (tie)
15     2.25     0.25   D4       chord    1.00 (tie)
15     2.50     0.25   D5       melody   0.65
15     2.50     0.25   B4       melody   0.30
15     2.50     0.25   D3       chord    0.47
15     2.50     0.25   G2       bass     1.00
15     2.75     4.00   D3       chord    0.79
15     2.75     2.00   G2       bass     1.00
15     4.50     0.75   D5       melody   0.53
15     4.50     3.00   D3       chord    0.64
15     4.50     0.25   G2       bass     1.00
15     4.75     4.00   A#3      chord    0.37
15     4.75     3.00   F3       bass     1.00

16     1.25     4.00   G4       melody   1.00
16     1.25     4.00   A#3      chord    0.64
16     2.75     0.25   D5       melody   0.32
16     2.75     3.00   G4       melody   1.00
16     2.75     0.50   D4       chord    0.71
16     2.75     3.00   A#3      chord    0.40
16     3.25     2.00   G4       melody   0.78
16     3.25     0.75   F4       melody   1.00
16     3.25     2.00   A#3      chord    0.78
16     4.50     2.00   A3       chord    0.70
16     4.50     2.00   F#3      chord    0.76
16     4.50     4.00   E3       chord    0.62
16     4.50     1.50   D3       chord    0.97

17     1.25     1.50   A3       chord    0.78
17     1.25     1.50   F#3      bass     0.90
17     1.25     4.00   E3       chord    0.53
17     1.25     0.50   D3       chord    0.72
17     1.50     1.50   A4       melody   1.00
17     1.75     1.00   D5       melody   1.00
17     1.75     0.75   C#3      chord    0.94
17     2.50     0.25   D5       melody   0.41
17     2.50     0.25   C#4      chord    0.53
17     2.50     0.25   A3       chord    0.64
17     2.50     0.25   F#3      bass     0.44
17     2.75     3.00   E4       melody   1.00
17     2.75     0.50   F#3      chord    0.61
17     3.25     0.50   A3       chord    0.49
17     3.25     1.00   D3       chord    0.50
17     3.50     2.00   B4       melody   0.35
17     3.50     0.25   A3       chord    0.44
17     3.50     2.00   E3       chord    0.64
17     3.50     0.75   D3       chord    0.52
17     3.75     0.50   A1       bass     0.79
17     4.50     1.00   B4       melody   0.70
17     4.50     1.00   E3       chord    0.80
17     4.75     0.75   C4       chord    0.69
17     4.75     2.00   B3       chord    0.60
17     4.75     0.75   G3       chord    0.72
17     4.75     0.75   E3       chord    0.56

18     1.50     0.25   G4       melody   0.81
18     1.75     0.50   B5       melody   1.00
18     1.75     1.00   D5       melody   0.95
18     1.75     0.25   G4       chord    1.00
18     1.75     0.50   E4       chord    0.78
18     1.75     0.50   C4       chord    0.94
18     1.75     1.00   B3       chord    1.00
18     2.00     0.25   A#4      chord    0.48
18     2.25     1.50   D3       chord    0.46
18     2.50     1.50   B4       melody   1.00
18     2.50     0.25   F2       bass     1.00
18     3.00     1.00   B4       melody   0.78
18     3.00     0.25   C4       chord    0.36
18     3.00     0.50   F#3      bass     1.00
18     3.50     0.75   E4       melody   1.00
18     3.75     0.25   B1       bass     1.00
18     4.25     0.25   D5       melody   0.31
18     4.25     0.50   C5       melody   0.49
18     4.25     1.50   D4       chord    1.00
18     4.25     0.50   A#3      chord    0.35
18     4.75     1.00   F#5      melody   0.36
18     4.75     3.00   B3       chord    0.85
18     4.75     1.00   G3       chord    1.00

19     1.00     0.75   G4       chord    0.57
19     1.00     0.75   E3       chord    0.33
19     1.00     1.00   D3       chord    0.47 (tie)
19     1.75     1.00   D5       melody   0.68
19     2.00     0.75   B5       melody   0.96
19     2.00     0.25   F#3      chord    0.53
19     2.00     0.50   C#3      chord    0.65
19     2.25     3.00   D3       chord    0.50
19     2.50     2.00   F#3      bass     1.00
19     2.75     1.00   B3       chord    0.55
19     2.75     2.00   F#3      bass     1.00
19     2.75     1.50   E3       chord    0.52
19     4.00     0.75   A5       melody   0.44
19     4.00     0.75   D5       melody   0.95
19     4.00     0.75   D4       chord    1.00
19     4.00     0.25   B3       chord    1.00 (tie)
19     4.50     0.25   A5       melody   0.94
19     4.50     0.25   D5       melody   1.00
19     4.50     0.25   F#3      bass     1.00
19     4.50     0.75   D3       chord    0.46

20     1.00     0.25   D5       melody   0.91
20     1.00     2.00   A#3      chord    0.53
20     1.25     0.50   F2       bass     0.76
20     1.75     1.50   G4       melody   1.00
20     1.75     1.00   A#3      chord    1.00
20     2.50     0.25   F2       bass     1.00
20     2.75     0.25   G3       chord    0.54
20     2.75     0.25   D3       chord    0.47
20     3.00     1.50   D5       melody   0.58
20     3.00     0.50   F2       bass     0.74
20     3.25     1.50   D5       melody   0.39
20     3.25     1.50   D4       chord    1.00
20     3.25     0.75   F3       bass     1.00
20     3.50     0.25   A5       melody   0.39
20     3.50     1.00   D5       melody   1.00
20     3.50     0.25   D3       chord    0.57
20     3.75     0.25   C5       melody   1.00
20     4.25     0.25   A5       melody   0.56
20     4.25     0.75   A#3      chord    1.00
20     4.50     0.25   G4       melody   0.72
20     4.50     0.25   D4       chord    0.66
20     4.50     0.25   A#3      chord    0.86
20     4.75     0.75   A#4      melody   0.47
20     4.75     0.75   F#4      chord    0.45
20     4.75     0.75   F4       melody   1.00
20     4.75     0.75   C#4      chord    0.92
20     4.75     2.00   A3       chord    0.68

21     1.75     0.50   B5       melody   0.45
21     1.75     1.00   D5       melody   1.00
21     1.75     0.50   C2       bass     1.00
21     2.00     0.50   A4       melody   0.48
21     2.00     0.75   B3       chord    0.60
21     2.50     0.75   B4       melody   1.00
21     2.50     0.25   D3       chord    0.70 (tie)
21     2.75     0.25   F2       bass     1.00 (tie)
21     3.00     0.25   D5       melody   0.59
21     3.00     0.25   C2       bass     0.57
21     3.50     0.25   F#4      melody   0.58
21     3.50     0.50   D4       chord    1.00
21     3.75     0.25   E5       melody   0.40
21     3.75     0.25   F#4      melody   0.58 (tie)
21     4.00     0.50   E4       melody   1.00
21     4.25     0.50   A4       melody   0.87
21     4.25     0.50   F#4      melody   0.56
21     4.25     0.25   E3       chord    0.43
21     4.75     0.25   A4       melody   0.63

22     1.00     0.50   C5       melody   0.54
22     1.00     0.50   A4       chord    1.00
22     1.00     0.50   E4       chord    0.68
22     1.00     1.00   C4       chord    1.00
22     1.00     2.00   B3       chord    0.66
22     1.50     0.25   G4       melody   0.67
22     1.75     0.75   A4       melody   0.75
22     2.00     1.00   D5       melody   1.00
22     2.00     0.25   B4       chord    1.00
22     2.00     1.00   G3       chord    0.70
22     2.00     0.25   C3       chord    0.40
22     2.25     1.00   E3       chord    0.37
22     2.25     0.50   A2       bass     0.90
22     2.50     0.50   F2       bass     1.00
22     2.75     0.25   D5       melody   0.72
22     2.75     1.00   B4       melody   1.00
22     2.75     0.25   G3       chord    0.33
22     2.75     0.50   E3       chord    0.51
22     3.00     0.25   D3       chord    0.66
22     3.00     0.50   F#2      bass     1.00
22     3.50     0.25   D3       chord    0.67
22     3.75     0.50   D5       melody   0.73
22     3.75     0.25   B4       melody   0.34
22     3.75     0.25   F#3      bass     1.00
22     3.75     0.50   D3       chord    0.68
22     4.00     1.00   C5       melody   0.89
22     4.00     0.25   F4       chord    1.00
22     4.00     1.00   A#3      chord    0.71
22     4.25     0.50   G#2      bass     1.00
22     4.50     1.50   A#4      melody   0.67
22     4.50     0.25   F4       melody   1.00
22     4.50     0.25   G#3      chord    0.63

23     1.00     1.00   B4       melody   0.52
23     1.00     3.00   D3       chord    0.94
23     1.00     2.00   G2       bass     1.00
23     1.25     0.50   A4       melody   0.56
23     1.25     0.50   G4       chord    0.63
23     1.25     0.50   D4       chord    0.94
23     1.25     0.50   B3       chord    0.62
23     1.75     1.00   D5       melody   0.38
23     1.75     0.25   A3       chord    0.51
23     2.00     0.75   B5       melody   0.78
23     2.25     0.50   E5       melody   0.53
23     2.25     2.00   B3       chord    0.65
23     2.25     2.00   F#3      bass     0.93
23     2.50     0.25   E3       chord    0.67
23     2.75     0.25   D5       melody   1.00 (tie)
23     2.75     0.25   E3       chord    0.40 (tie)
23     3.00     1.50   B4       melody   0.94
23     3.00     0.25   F2       bass     1.00
23     3.25     0.50   B5       melody   1.00
23     3.25     0.25   D5       melody   0.51
23     3.25     1.00   B3       chord    0.36
23     3.25     1.00   F#3      bass     1.00
23     3.25     0.25   E3       chord    0.54
23     3.25     0.50   D3       chord    0.58
23     3.75     0.50   F#4      chord    0.82
23     3.75     0.75   E3       chord    0.62
23     4.00     0.50   E3       chord    0.60
23     4.00     0.25   G2       bass     1.00
23     4.25     0.25   D5       melody   0.62
23     4.25     0.25   B1       bass     0.36
23     4.75     3.00   D5       melody   0.75
23     4.75     0.25   B4       melody   0.37

24     1.00     3.00   D4       chord    0.92
24     1.00     1.00   A#3      chord    0.73
24     1.00     1.00   A3       chord    0.40
24     1.00     2.00   G3       chord    0.78
24     1.50     3.00   D5       melody   0.63
24     1.50     0.75   A#3      chord    0.45
24     1.50     2.00   G3       chord    0.74
24     1.50     1.50   D3       chord    0.51
24     2.25     2.00   D5       melody   0.36
24     2.25     0.50   G#4      melody   1.00
24     2.25     0.50   G4       chord    1.00
24     2.25     0.75   D3       chord    0.51
24     2.25     0.50   E2       bass     1.00
24     2.75     0.25   E5       melody   0.46
24     2.75     0.25   B4       chord    0.60
24     3.00     2.00   A#3      chord    0.98
24     3.25     0.50   D5       melody   0.85
24     3.25     1.50   C2       bass     1.00
24     3.50     0.50   D5       melody   0.82
24     3.50     1.00   A#3      chord    0.57
24     3.50     3.00   D3       chord    0.61
24     4.00     0.50   A#4      melody   0.36
24     4.00     0.75   A4       melody   1.00
24     4.00     0.50   E4       chord    0.31
24     4.50     0.25   A4       melody   1.00
24     4.50     1.00   F#4      melody   0.93
24     4.50     0.50   C2       bass     0.77
24     4.75     1.00   A3       chord    0.37
24     4.75     0.25   G3       chord    1.00

25     1.25     0.75   B5       melody   0.83
25     1.25     1.00   C#4      chord    1.00
25     1.25     0.25   F#3      chord    0.38
25     1.50     0.75   E3       chord    0.58
25     1.50     0.25   C#3      chord    0.65
25     1.75     0.25   B4       melody   1.00 (tie)
25     1.75     0.50   A2       bass     1.00
25     2.00     0.25   C#5      melody   0.37
25     2.00     0.25   B4       melody   1.00 (tie)
25     2.00     0.25   C#3      chord    0.58
25     2.25     0.25   G#5      melody   0.34
25     2.25     0.75   E3       chord    0.46
25     2.25     0.75   A2       bass     1.00
25     2.50     0.25   G#5      melody   0.40
25     2.50     0.75   E3       chord    0.81
25     2.50     0.75   C#3      chord    0.89
25     2.50     0.50   A2       bass     1.00
25     2.75     0.50   D5       melody   1.00
25     2.75     0.25   A4       chord    0.53
25     2.75     0.25   F#4      chord    0.43
25     2.75     0.25   E4       chord    0.66
25     3.00     0.25   C#5      melody   0.33
25     3.00     0.25   F#3      chord    0.67
25     3.25     0.75   B5       melody   1.00
25     3.25     0.25   D5       melody   1.00
25     3.25     1.00   A3       chord    0.46
25     3.25     0.75   E3       bass     1.00
25     3.25     0.25   C#3      chord    0.38
25     3.50     0.75   B4       melody   0.57
25     3.50     1.00   A3       chord    0.62
25     3.50     0.50   E3       bass     1.00
25     3.50     1.00   D3       chord    0.83
25     4.00     0.25   F#4      chord    0.83
25     4.00     0.50   D4       chord    1.00
25     4.00     0.25   B1       bass     0.47
25     4.25     0.25   F#3      chord    0.34 (tie)
25     4.50     1.00   D5       melody   0.82
25     4.50     0.25   D3       chord    0.99
25     4.50     1.00   A#2      bass     1.00
25     4.75     1.00   D5       melody   0.98
25     4.75     0.50   D4       chord    1.00
25     4.75     0.50   A3       chord    0.57

26     1.50     0.75   C4       chord    0.92
26     1.50     0.75   G3       chord    0.84
26     1.75     0.50   C5       melody   0.34
26     1.75     0.25   A3       chord    0.47
26     1.75     0.50   C3       chord    0.59
26     2.00     0.25   E3       chord    0.96
26     2.25     0.25   B4       melody   0.49
26     2.25     0.25   G#4      melody   1.00
26     2.25     0.50   C#3      chord    1.00
26     2.25     0.25   F#2      bass     0.53
26     2.50     0.25   A5       melody   0.44
26     2.75     0.25   D5       melody   1.00
26     2.75     0.25   A3       chord    0.76
26     3.00     1.00   D5       melody   1.00
26     3.00     0.50   C4       chord    0.72
26     3.00     0.50   A3       chord    0.49
26     3.00     1.00   D3       chord    1.00
26     3.25     0.25   B5       melody   1.00
26     3.25     0.25   C3       chord    0.42
26     3.50     0.50   B4       melody   0.54
26     3.50     0.50   A4       chord    1.00
26     3.50     0.50   C#2      bass     1.00
26     4.00     1.50   B4       melody   0.63
26     4.00     0.25   E3       chord    0.63
26     4.50     0.50   D2       bass     0.48

27     1.00     0.50   B3       chord    0.33
27     1.00     0.50   G3       chord    1.00
27     1.00     2.00   D3       chord    0.81
27     1.50     0.50   A4       melody   0.64
27     1.50     1.50   D4       chord    1.00
27     1.75     0.75   G4       melody   0.96
27     2.25     0.75   A3       chord    1.00
27     2.50     1.00   D5       melody   0.56
27     2.50     0.50   A3       chord    0.85
27     2.50     2.00   F#3      bass     1.00
27     2.50     0.50   D3       chord    0.76
27     2.75     0.75   D5       melody   0.89
27     2.75     1.50   B3       chord    0.65
27     2.75     0.25   A3       chord    0.37
27     2.75     1.50   F#3      bass     0.93
27     2.75     0.50   D3       chord    0.73
27     3.00     0.50   E3       chord    0.30
27     3.00     0.50   G2       bass     0.49
27     3.50     0.75   B3       chord    0.91
27     3.50     0.75   F#3      bass     1.00
27     3.50     2.00   D3       chord    0.50
27     4.75     0.50   C5       melody   0.78
27     4.75     1.00   C4       chord    0.63
27     4.75     0.50   A3       chord    0.58

28     1.75     1.00   D5       melody   0.56
28     1.75     1.00   D3       chord    1.00
28     1.75     0.50   E2       bass     1.00
28     2.50     0.25   D5       melody   0.79 (tie)
28     2.50     0.25   C5       melody   1.00
28     2.50     0.25   G4       chord    0.82 (tie)
28     2.50     0.25   E3       chord    0.72 (tie)
28     2.50     0.25   D3       chord    0.63 (tie)
28     2.50     0.25   C3       bass     1.00 (tie)
28     2.75     0.50   C5       melody   0.93
28     2.75     0.75   A#3      chord    0.71
28     2.75     0.25   E3       chord    0.72
28     2.75     0.50   D3       chord    0.63
28     2.75     0.50   C3       bass     0.47
28     3.00     0.75   A#4      melody   0.52
28     3.00     0.75   C4       chord    0.50
28     3.00     0.75   F2       bass     1.00
28     3.25     0.25   A4       melody   1.00
28     3.75     0.50   G3       chord    0.46
28     3.75     1.50   D3       chord    0.81
28     3.75     0.50   C3       chord    0.36
28     4.25     0.75   C#5      melody   0.35
28     4.25     0.25   G4       melody   0.56 (tie)
28     4.25     0.50   F#4      chord    0.68
28     4.25     1.00   C#4      chord    1.00
28     4.25     0.25   A#3      chord    1.00 (tie)
28     4.75     0.25   C#5      melody   1.00
28     4.75     0.50   D2       bass     1.00

29     1.00     0.25   F#4      melody   0.78
29     1.25     0.25   G#5      melody   0.31
29     1.25     0.25   F#5      melody   0.48
29     1.50     0.75   D5       melody   0.43
29     1.50     0.25   B4       melody   0.54
29     1.50     0.25   G3       bass     0.69
29     1.75     0.25   B4       melody   0.54 (tie)
29     1.75     3.00   F#3      bass     1.00
29     1.75     0.25   E3       chord    0.73 (tie)
29     2.00     0.25   D5       melody   0.41
29     2.00     0.75   C#5      melody   0.31
29     2.00     0.25   B1       bass     0.32
29     2.25     0.50   E3       chord    0.47
29     2.50     0.75   D5       melody   1.00
29     2.75     1.50   B4       melody   0.50
29     2.75     0.75   E2       bass     1.00
29     3.25     0.50   F#2      bass     0.85
29     3.50     0.75   B4       melody   0.60
29     3.50     0.50   A3       chord    0.60
29     3.50     1.50   D3       chord    0.63
29     3.75     0.25   F#2      bass     0.90
29     4.25     1.00   D5       melody   0.45
29     4.25     1.00   A3       chord    0.51
29     4.25     0.75   D3       chord    0.80
29     4.25     1.00   B2       bass     1.00

30     1.50     0.25   C5       melody   0.89
30     1.50     0.50   C4       chord    1.00
30     1.50     0.25   G#3      chord    0.82
30     1.50     0.50   F#3      bass     0.45
30     1.75     0.25   G#4      melody   0.91
30     1.75     0.25   E3       chord    1.00
30     2.25     0.25   D5       melody   1.00
30     2.25     0.25   D3       chord    0.54
30     2.25     0.25   A2       bass     1.00
30     2.50     0.25   G5       melody   0.62
30     2.50     0.25   D5       melody   0.85
30     2.50     0.25   G3       chord    0.45
30     2.50     0.25   A2       bass     1.00
30     3.00     0.25   B5       melody   0.89
30     3.00     1.00   D5       melody   0.63
30     3.00     1.50   D3       chord    0.82
30     3.00     0.50   A2       bass     1.00
30     3.50     0.50   G4       chord    0.41
30     3.50     0.50   E3       chord    0.56
30     3.75     0.25   C3       chord    0.44
30     3.75     0.25   F#2      bass     0.85
30     4.00     0.50   C5       melody   0.66
30     4.00     0.50   A4       chord    0.78
30     4.00     0.75   C4       chord    0.92
30     4.00     0.75   F#3      bass     1.00
30     4.00     0.50   E3       chord    0.54
30     4.00     0.75   D3       chord    0.67
30     4.50     0.25   E4       melody   1.00
30     4.50     0.25   D4       chord    0.65
30     4.50     0.25   B3       chord    0.50
30     4.75     3.00   B3       chord    0.50
30     4.75     0.25   G3       chord    0.65
30     4.75     3.00   F#3      bass     0.35
30     4.75     4.00   D3       chord    0.93

31     1.00     0.75   D5       melody   0.35
31     1.00     0.75   D4       chord    1.00
31     1.25     0.50   D5       melody   0.40
31     1.25     0.50   D4       chord    1.00
31     1.25     1.00   A3       chord    1.00
31     1.25     3.00   F#3      bass     0.49
31     1.75     0.75   A4       melody   1.00
31     1.75     0.25   F#4      melody   0.85
31     2.00     0.50   C#5      melody   0.49
31     2.00     0.50   E3       chord    0.38
31     2.25     0.75   D5       melody   1.00
31     2.25     0.25   G2       bass     0.70 (tie)
31     2.50     0.50   F2       bass     1.00
31     2.75     2.00   A4       melody   1.00
31     3.00     2.00   A4       melody   1.00
31     3.00     0.25   G2       bass     0.50
31     3.25     0.75   B4       melody   0.43
31     3.25     1.50   A4       melody   1.00
31     3.25     0.75   F#3      bass     0.81
31     3.25     1.50   D3       chord    1.00
31     3.50     0.50   F#4      chord    0.62
31     4.00     1.00   A#3      chord    0.45
31     4.00     1.00   C3       bass     1.00
31     4.25     0.75   D5       melody   0.55
31     4.25     0.75   A#3      chord    0.52
31     4.25     0.75   D3       chord    0.81
31     4.25     0.75   C3       bass     0.98
31     5.00     0.25   E5       melody   1.00
31     5.00     2.00   A#3      chord    0.53
31     5.00     0.25   A3       chord    0.55

32     1.25     1.50   C5       melody   0.83
32     1.25     0.75   F4       chord    0.65
32     1.25     1.00   C4       chord    0.81
32     1.25     2.00   A#3      chord    0.53
32     2.00     0.50   A4       chord    0.57
32     2.00     0.50   F#4      chord    0.50
32     2.00     0.50   A#1      bass     0.62
32     2.50     1.50   A#4      chord    1.00
32     2.50     4.00   D3       chord    0.72
32     3.00     0.25   A4       melody   0.38
32     3.25     0.25   B1       bass     0.69
32     3.50     2.00   A4       melody   0.35
32     3.50     3.00   D3       chord    0.47
32     3.50     0.75   F2       bass     1.00
32     4.25     2.00   D3       chord    0.54
32     4.50     0.75   G#4      melody   0.38
32     4.50     1.00   D2       bass     1.00

33     1.25     0.75   A1       bass     0.48
33     1.50     0.50   E3       chord    1.00
33     1.75     0.25   B3       chord    0.36
33     1.75     0.25   A3       chord    0.50
33     2.00     0.50   C#5      melody   0.47
33     2.00     0.50   F#2      bass     0.80
33     2.50     0.25   C#5      melody   0.79
33     2.50     0.25   D3       chord    0.99
33     2.50     0.25   A2       bass     1.00
33     2.75     0.75   C#5      melody   0.79
33     2.75     0.75   D3       chord    0.66
