# Segmented Transcription: best_part.mp3
# BPM: 67 | Time Signature: 4/4
# Total Bars: 76

Bar.Beat   Time     Chord      Bass     Melody Notes
21.2       72.62    Faug       F2       B5 D5 A4
21.2       72.83    Faug       F2       D5 A4
21.2       73.06    Dm         F2       D5 B4
21.3       73.47    Gmaj7      G3       D5 B4 G4
21.3       73.77    Em         F#3      E4 G4
21.3       73.98    F#aug      F#3      E4 G4 F#4
21.3       74.29    F#aug      F#3      E4 E5
21.4       74.48    D          D3       E4 F#4
21.4       74.66    D          D3       A4 F#4
21.4       74.90    N.C.       D3       D5 A4
22.1       75.24    Am         A2       D5 C5
22.1       75.60    C5         A2       E4 G4
22.1       75.80    D5         A2       B5 A4
22.1       76.05    C5         G3       B5 D5
22.2       76.25    Em         G3       B5 D5
22.2       76.53    A5         A2       B5 D5
22.2       76.70    Em         F2       B5 D5 B4
22.3       77.24    F#min7b5   F#3      B4
22.3       77.86    F5         F2       D5 C5
22.4       78.20    G#         G#2      C5
22.4       78.41    G#         G#2      C5 F4 A#4
23.1       78.92    G5         G2       B4 A#4 A4
23.1       79.48    Gm         G2       D5 B4
23.2       79.87    G          G2       B5 E5 D5
23.2       80.38    G          G2       B5 D5
23.3       80.54    Bdim       F2       B5 B4
23.3       80.79    Bm         F#3      B5 D5 B4
23.3       81.20    E5         -        B5 B4
23.3       81.39    Em         G2       B4 F#4
23.4       82.09    Dsus2      D3       D5 B4
24.1       82.47    Edim       E2       D5 A4
24.1       82.78    Gm         G3       A#4 D5
24.2       83.46    C5         C3       G#4 D5
24.2       83.94    G          G2       D5 E5
24.3       84.68    C7         C2       D5
24.4       85.11    C7         C2       A#4 A4
24.4       85.48    Csus2      C2       A4 F#4
25.1       86.15    D          D2       B5 B4
25.1       86.41    D5         D2       B5 B4
25.2       87.30    A          A2       G#5
25.2       87.52    A          A2       D5
25.3       87.99    A          E3       B5 D5 C#5
25.3       88.19    D          E3       B5 C#5 E4 B4
25.4       88.94    Bdim       B2       D5
25.4       89.16    D5         A#2      D5 A4
25.4       89.40    A#         A#2      D5 A4
26.2       90.42    C          C3       C5 B4
26.3       91.56    D5         D2       B5 D5
26.3       91.71    G          G3       D5 B4
26.4       92.29    D          F#3      B4
26.4       92.61    A5         F#2      E4 B4
26.4       93.05    G5         G2       B4 F#4
27.1       93.51    G5         G2       D5 A4
27.1       93.70    F#aug      F#3      D5 A4 G4
27.1       93.96    F#aug      F#3      D5 G4
27.2       94.16    D          F#3      D5 G4
27.2       94.39    D          F#3      D5 A4
27.2       94.60    D          F#3      D5
27.3       94.93    E5         F#3      D5
27.3       95.27    Bm         F#3      F#4 B4
27.3       95.48    D          F#3      B4 A4
27.3       95.70    D          F#3      B4 A4
27.4       96.44    A#         E2       C5
28.1       97.00    Emin7b5    E2       F4 A4
28.1       97.47    C5         C3       D5 A#4
28.2       97.92    Cm         C3       D5 A#4
28.3       98.52    A#         C3       D5 C5 A#4
28.3       98.80    F5         F2       A#4 A4
28.3       99.24    F          F2       A#4 A4 G4
28.4       99.73    F#5        F2       C#5 A4
28.4       100.09   D5         D2       C#5 A4
29.1       100.32   A          A2       A4 F#4
29.1       100.55   Emin7      E3       G#5 F#5
29.1       101.10   N.C.       F#3      D5 C#5
29.2       101.42   E5         F#3      F#4 C#5
29.2       101.90   D          F#3      D5 B4
29.3       102.27   E5         E2       B4
29.3       102.48   D          F#3      B4 A4
29.3       102.71   D5         D3       B4 A4
29.4       102.96   F#aug      F#3      B4 A4
29.4       103.13   Bm         B2       D5 A4
29.4       103.29   D5         B2       D5
30.3       105.62   D5         A2       B5 D5
30.3       105.77   Dmin7      D3       D5 B4
30.3       106.05   G5         D3       D5 B4
30.3       106.22   G5         F#3      D5 B4
30.3       106.49   F#dim      F#3      D5 C5 B4
30.4       106.66   F#min7b5   F#3      C5 B4 A4
30.4       106.90   Bm         F#2      E4 B4
30.4       107.33   G          G2       B4
31.1       107.57   G          G2       D5 B4
31.1       107.76   G          G2       D5 B4
31.1       108.23   D          F#3      A4 F#4
31.2       108.45   D          F#3      C#5 A4
31.2       108.65   D          F#3      D5 C#5
31.2       108.96   Bm         F#3      D5 A4
31.3       109.30   Bm         F#3      F#4 A4
31.3       109.49   Bm         D3       B4 A4
31.3       109.73   B5         F#3      B4 A4
31.4       110.28   A#         C3       D5 A4
32.1       111.26   A#5        A#2      C5 A#4
32.2       111.96   A#5        A#2      C5
32.2       112.34   C5         C3       F4 C5
32.3       112.80   Gm         -        A4 A#4
32.3       113.01   C5         C3       A#4
32.3       113.24   C5         C3       A#4 A4
32.4       113.89   D5         A2       G4 A4
32.4       114.31   D          D2       A4 G#4 F#4
33.1       114.80   D5         A2       A4 F#4 E4
33.1       115.03   A5         A1       E4 A4
33.1       115.23   A5         A2       E4 A4
33.1       115.46   F#aug      F#3      C#5 F#4
33.2       116.38   E          E2       C#5 A4 F#4
33.3       116.91   F#m        F#2      A4 F#4 E4
33.4       117.37   Am         A2       B4 G4
34.2       119.48   Bm         D3       B4 G#4
34.3       119.92   F#min7     F#2      B4
34.3       120.15   Dsus2      D3       B4 E4
34.3       120.36   D          D2       E4 B4
34.4       120.85   D5         D2       F#4 A4
34.4       121.03   G5         G2       A4 F#4 E4
34.4       121.38   G5         G2       D5
35.2       123.47   G          G2       B4 A4
35.3       123.76   Bm         F#3      A4 D5
35.4       124.80   Gm         F3       E4 D5
36.1       126.19   F5         C2       A5 D5
36.2       126.90   N.C.       C2       C5 A#4
36.3       127.13   F          F2       A#4 C5
36.3       127.33   A#5        F2       C5 A#4
36.3       127.56   F          F2       C5 A#4 A4
36.3       127.99   Am         E2       F4 A4
36.4       128.39   D          E3       A#4 A4
37.1       129.14   N.C.       E3       B4 G#4
37.2       129.85   D          F#3      C#5 A4
37.2       130.52   E          E2       G#5 D5
37.3       131.09   F#         F#2      A4
37.4       131.72   Am         A2       C5
38.1       132.53   Am         A2       G4 B5
38.1       132.77   Adim       A2       B5
38.1       133.38   A5         A2       D5 C5
38.2       133.80   D5         D3       A#5 D5 B4
38.3       134.35   G5         G3       D4 C5
38.3       134.64   G5         F#3      A4
38.3       134.97   D          F#3      A4 G4
38.4       135.27   F#dim      F#3      G4 A5
38.4       135.59   Gm         G2       F#5 F#4
38.4       135.77   G          G2       F#5 B4 G4
39.1       136.22   G          G2       D5 B4
39.1       136.65   G          G2       D5 A4
39.1       136.87   G5         G2       D5 A4
39.2       137.09   D          F2       D5 A4 F#4
39.2       137.56   D          F2       D5
39.3       138.01   Dm         F2       F#4 D5
39.3       138.22   D          F#3      D5 F#4
39.3       138.45   F#aug      F#3      A4 F#4
39.3       138.66   D          F#3      A4 G4
39.4       138.90   D          F#3      G4 A4
39.4       139.20   Daug       C3       A4 G4
39.4       139.60   Edim       E2       D5 G4
40.1       140.13   F5         F2       A#4 A4
40.1       140.39   Cmin7      C3       A#4 F#4
40.2       140.65   F5         F2       E4
40.2       141.08   Dm         F2       A#4
40.3       141.57   C5         G3       A#4
40.3       141.89   C          C2       A4 G4
40.4       142.68   D5         D2       A4 G4
41.1       144.07   D          F#3      D5
41.2       144.29   E5         E2       D5 A#4
41.2       144.53   Faug       F2       F#5 D5
41.2       144.97   Faug       F2       D5
41.3       145.72   G          B2       F#4 D5
41.4       146.10   Gdim       A#2      G#4 G4
41.4       146.43   Am         A2       C5 G#4
42.1       147.19   A          A2       E4 A4
42.1       147.41   G          D3       B5 D5
42.1       147.67   C          C2       E5 D5
42.2       148.07   C          C2       E5
42.2       148.42   D5         D3       E5 D5
42.3       148.63   G5         G3       F#5 E5 D5
42.3       149.23   F#aug      F#3      D5 A4
42.4       150.00   N.C.       -        D5
42.4       150.31   G          G2       B5 E5
43.1       150.60   G          G2       E5
43.1       151.07   G          G2       D5 B4
43.3       152.24   G5         G2       E4 F#4
43.3       152.39   G5         G2       E4 F#4
43.3       152.67   G5         G2       E4
43.3       152.82   G5         G2       E4
43.4       153.33   G          G2       A4 D5
43.4       153.79   F5         F2       F4 D5
44.1       154.49   F5         C3       D5 A5
44.2       155.64   A#5        A#2      A5 D#5
44.3       155.97   A#m        A#2      A5 G#5
44.4       156.71   Dm         F3       C5 A#4
44.4       157.43   A          E3       C5 A#4
44.4       157.59   D          E3       C5 A#4 A4
45.1       158.17   D          E3       E5 C#5
45.2       159.07   D          E3       C#5 A4
45.2       159.29   F#m        E3       C#5 A4
45.3       159.71   D          E3       C#5 A4
45.3       159.95   A          E3       C#5 A4
45.4       160.22   F#m        E3       E5 C#5
45.4       160.67   A5         E3       C#5 E4
46.1       161.23   Am         A2       F#5 G4 E4
46.1       161.98   Am         A2       F#5
46.2       162.27   Am         A2       E5 D5
46.2       162.63   D5         D3       G5 E5 D5
46.2       162.85   G5         G2       F#5 D5 A4
46.3       163.18   G#5        G#2      G#5 F#5
46.3       163.62   G#5        G#2      G#5
46.4       164.48   G          G2       G#5 F5
46.4       164.63   G          G2       A5 E5
47.1       165.09   G          G2       F#5
47.1       165.45   G          B2       D5 A4
47.2       165.67   G          B2       D5 A4
47.3       166.96   G5         G3       F#4 D5
47.4       167.40   G5         G3       D5 G4
48.2       169.60   A#         E2       C5
48.3       170.33   D5         -        A5 F5
48.4       171.35   D          D2       D5 A#4
49.1       172.12   D5         A2       G5 C#5
49.2       172.97   D          E3       D5 B4 A4
49.2       173.48   D          E3       E5 C#5 F#4
49.3       174.02   F#5        E3       E5 D5
50.1       175.74   Am         A2       C5 G4
50.1       176.02   C5         A2       C5
50.1       176.31   Am         A2       E4 B4
50.2       177.11   F5         F2       B5 D5
50.3       177.45   D          F#3      B5 A#5
50.3       177.60   G5         F#3      B5 A5
50.3       178.16   G#         G#2      F6 C5
50.4       178.34   G#         G#2      F6 C6
51.1       179.30   G          G2       D6 B5
51.1       179.47   G          G2       B5 F#5
51.1       179.62   G          G2       B5 F#5
51.3       181.07   Dm         F2       B5 D5
52.3       184.49   F5         F#2      D5
52.3       184.74   Dm         F2       E5 D5
52.4       185.40   Dm         F2       G5 D5 C5
53.3       188.86   Faug       F2       F#5
54.1       190.23   Am         A2       C5 B4
54.3       192.18   C#5        D#3      A#4
54.4       193.10   G#5        G#2      G#4 F4
55.1       193.89   G          G2       D5
55.1       194.04   G          G2       B5 D5
55.1       194.19   G          G2       B5 B4
55.2       194.48   G          G2       A5 D5
55.2       194.77   G          G2       B5 A#5
55.2       195.12   G          B2       B5 D5
55.3       195.27   G          B2       D5 G4
55.3       195.55   G          B2       D6 A5
55.4       196.31   Bm         B2       A5
55.4       196.65   G          G2       A5 G5 F#5
56.1       197.15   G          G2       D5
56.1       197.42   A#         F3       E5
56.1       197.68   A#5        F3       F5 E5
56.2       198.01   A#5        F3       E5 D5
56.2       198.29   A#5        F3       E5 D5 C5
56.2       198.59   Dm         F2       D5 C5
56.3       198.90   D#5        E2       A4 C5
56.3       199.26   F          F2       A#4 A4
56.3       199.66   Edim       E2       A4 G4
56.4       200.35   F          F2       A4 G4
57.1       200.59   F5         F2       D5 A4 F4
57.1       200.82   F          F2       F4 G4
57.1       201.08   Faug       F2       D5 G4
57.2       201.90   D5         -        B4 A4
57.2       202.06   D          E3       B5 D5
57.3       202.30   A          E3       B4 D5
57.3       202.54   F#m        E3       D5 B4
57.3       202.73   F#m        E3       D5 B4
57.3       203.07   E5         F2       B4 A4
57.4       203.48   F#5        F#2      F#4
57.4       203.71   E5         F2       E4
57.4       204.06   B5         B2       E4 F#4
58.1       204.45   A#m        A#2      F#4 F4
58.1       204.94   A          A2       G#4 F4
58.2       205.68   Am         A2       B4 A4
58.2       205.84   Am         A2       B5 D5
58.3       206.08   Am         A2       B5 D5 B4
58.3       206.31   N.C.       A2       D5 B4
58.3       206.53   G5         G3       D5 B4 A4
58.4       206.87   D7         D3       B4 A4
58.4       207.10   C          G3       G4 F#4
58.4       207.38   G5         G3       E4
59.1       207.76   Dm         F2       D5
59.1       208.53   G#         G#2      G#4 F#4
59.2       208.74   G          G2       C#5 F#4
59.3       209.87   G5         G2       D5 B4
59.3       210.19   G5         G2       B5 E5
59.4       210.71   D          F#3      F#5 E5
59.4       211.09   D          F#3      B5 E5 D5
59.4       211.24   F#dim      F#3      B5 D5 B4
60.2       212.29   D5         -        C5 A4 F4
60.2       212.52   D5         C#2      F4 A#4
60.3       213.19   A#         C#2      A#6 A6
60.3       213.88   Dm         C2       A6 C6 A#5
60.4       214.11   Dm         F2       A5
61.1       215.03   N.C.       A#2      C5 A#4
61.1       215.27   F          F3       A#4 F4
61.1       215.76   F          F2       C5 A#4
61.2       215.97   Gm         G3       E5 C5 A4
61.2       216.46   A5         A2       E4 A4
61.3       216.91   D5         A2       C#5 A4
61.4       217.88   F#5        E3       B5 D5
61.4       218.11   Esus2      E3       E4 D5
61.4       218.35   Esus2      E3       D5 F#4
62.1       219.03   Bm         B2       C#5 A4
62.2       219.49   C#5        A#2      C#5 C5 G#4
62.2       219.81   Am         A2       C#5 G#4
62.3       220.80   Gm         A2       B4 A4
62.3       220.96   A          A2       D5 B4
62.4       221.41   C5         A2       B5 E5
62.4       221.74   D5         D3       E5
62.4       221.91   D5         D3       F#5 E5
63.1       222.20   Am         A2       E5
63.1       222.37   A5         F#3      B5 E5 D5
63.2       222.96   G#5        G#2      D5 C5
63.3       224.04   G5         G2       D5
63.3       224.21   Bm         B2       D5 A4
63.3       224.55   Em         B2       B4 F#5
63.4       225.15   D          F#3      A5 F#5 F#4
64.1       225.65   Bm         F#3      F#5 E5
64.1       225.94   F#5        F#3      B5
64.1       226.10   F#5        F#3      B5 A5
64.1       226.44   G          G2       A5 F#5
64.2       226.60   G          G2       F#5 D5
64.2       226.75   G          G2       F#5 D5
64.2       227.31   A#5        A#2      F5 D5
64.3       227.49   A#5        A#2      F5 E5
64.3       227.69   A#5        A#2      E5 C5
64.3       227.94   A#         A#2      C5 G4
64.3       228.26   D5         A2       D5 G4
64.4       228.45   F#aug      F#2      D5 A#4 A4
64.4       228.68   A#         F2       A#4 A4 G4
64.4       228.89   Dm         F2       A4 G4 F4
64.4       229.15   A#         F2       E4 G4
65.1       229.47   Emin7b5    E2       D5 A#4
65.1       229.78   F5         E2       E4
65.2       230.11   Emin7b5    E2       F4 E4
65.2       230.52   Emin7b5    E2       E4 C5
65.3       231.04   D          D2       A#4 F#4
65.3       231.75   A          A2       B4 A4
65.4       231.99   A5         E3       D5 B4
65.4       232.47   D5         E3       E4 D5
65.4       232.68   G5         G3       D5 A4 G4
66.1       233.00   Em         F#3      D5 B4 F#4
66.1       233.43   N.C.       F#3      E4 F#4
66.1       233.63   F#aug      F#3      F#4 E4
66.2       233.87   F#min7b5   F#3      E4
66.2       234.18   F#min7     F#3      F#4 G4
66.2       234.51   G5         F#3      E4 D5
66.3       234.85   Am         A2       E4 A4
66.3       235.49   C5         A2       B4 A4
66.4       235.73   Fsus2      F2       E4 D5
66.4       235.95   A5         A2       D5 B4
66.4       236.17   D          F#3      D5 B4
67.1       236.40   F#aug      F#3      A4 B4
67.1       236.72   F#min7b5   F#3      B5 B4
67.1       236.98   F#min7b5   F#3      B4 F#4 E4
67.1       237.30   F#aug      F#3      E4 B4
67.2       237.62   G#         G#2      D5 B4
67.3       238.21   G#         G#2      D5 F#4
67.3       238.60   G          G2       G4 F#4
67.4       239.37   G          G2       D5 A4
67.4       239.54   E5         F#2      B5 D5
67.4       239.75   Bm         F#3      B5 D5
68.1       239.94   F#aug      F#3      B5 D5
68.1       240.18   Em         F#3      B5 D5 B4
68.1       240.56   G          G2       B4 F#4
68.2       240.93   G5         G2       F#4 B4
68.2       241.38   G          G2       E4 B4
68.3       241.88   G5         G2       A5 D5
68.3       242.11   G5         G2       A5 D5
68.3       242.58   Gm         A#2      D5 A4
68.4       242.97   A#         A#2      D5 A4
69.1       243.81   D5         A#2      D5 A4
69.1       244.10   Gm         A#2      D5 A4
69.2       244.74   A#5        A#2      A4 G4
69.3       245.34   Dm         F3       E4 D5
69.4       246.65   A#         A#2      A4 G4
70.1       247.86   F#         F#2      A#4 A4
70.2       248.77   F#5        F#2      C#5
70.3       248.96   F#min7     F#2      E4 C#5
70.3       249.15   F#aug      F#2      E4 F#4
70.3       249.36   D          F#2      D5 A4
70.4       249.81   Bm         B2       D5 A4
70.4       250.55   Bm         B2       D5 B5
71.1       250.73   G          B2       B5 D5 A4
71.1       251.25   A#5        A#2      D5 A4
71.2       252.47   Dm         F3       D5 A4
71.3       252.66   F          F2       D5 A4
71.3       253.12   F5         F2       A4 D5
72.1       254.79   Dm         F2       D5
72.1       254.99   E5         F2       D5 A4 E4
72.2       255.55   Dm         F2       E4 A4
72.3       256.64   Bm         F#2      B4 A4
72.3       256.87   E5         E2       B4 A4
72.4       257.75   Dm         F2       C5 G4
